,0
0,81.66695
1,72.424225
2,70.69507
3,25.384806
4,8.1988
5,6.9761553
6,14.599653
7,36.79371
8,10.9573145
9,11.201689
10,12.424995
11,3.21988
12,1.5421234
13,3.7998435
14,5.355733
15,5.6823215
16,42.53795
17,11.516788
18,11.525039
19,3.3273313
20,2.1579454
21,17.481386
22,36.401936
23,5.2633276
24,38.219776
25,8.418684
26,3.9549978
27,1.7308373
28,11.216347
29,25.515352
30,10.499423
31,30.849941
32,2.9290385
33,10.123606
34,4.743102
35,5.4235764
36,10.301756
37,7.980627
38,9.906621
39,5.6677675
40,27.466688
41,4.5270715
42,3.260232
43,3.642351
44,6.7824717
45,12.097921
46,10.887216
47,20.068573
48,4.1830015
49,4.841238
50,2.2844791
51,4.0826106
52,1.7936597
53,4.0833488
54,4.132764
55,3.7287908
56,5.3524084
57,2.6559782
58,1.7379217
59,5.655937
60,4.7441325
61,1.8083303
62,14.2369995
63,3.0974097
64,9.014461
65,4.9211574
66,4.8142757
67,6.5257053
68,4.388275
69,6.3407354
70,7.4385324
71,4.853257
72,7.220622
73,7.9679723
74,4.0982027
75,2.9521883
76,8.629238
77,6.177845
78,4.398164
79,8.652516
80,3.0487967
81,3.921926
82,2.3515487
83,5.137391
84,2.731962
85,1.834783
86,6.455846
87,2.4541004
88,9.136197
89,4.1318936
90,6.361496
91,4.4881673
92,4.490103
93,11.578266
94,8.248375
95,10.02061
96,4.350447
97,9.856487
98,6.9732966
99,11.354188
100,3.1412401
101,5.331239
102,11.681608
103,13.50596
104,9.482363
105,3.9139247
106,12.612562
107,2.5333886
108,6.335287
109,5.1591263
110,3.3410048
111,12.509511
112,2.1412663
113,8.841937
114,11.241276
115,8.170142
116,5.7598157
117,4.395136
118,9.229595
119,5.5086517
120,4.9181542
121,3.3335938
122,3.7785928
123,12.284755
124,9.928084
125,6.7211795
126,6.210666
127,7.5348907
128,2.093296
129,3.7436912
130,5.972855
131,13.975346
132,13.68974
133,8.02073
134,4.4506536
135,7.407159
136,9.364924
137,4.7388406
138,7.2069826
139,6.950747
140,8.045934
141,3.6362088
142,6.57489
143,5.0498633
144,9.1376095
145,11.457497
146,10.037773
147,9.204252
148,2.862414
149,10.664696
150,4.343798
151,7.974898
152,4.762217
153,3.7728431
154,5.5590177
155,10.856926
156,7.887037
157,3.906844
158,8.048599
159,11.595213
160,8.649591
161,15.784254
162,10.822009
163,4.688587
164,4.581023
165,6.090348
166,7.062001
167,9.399115
168,5.983241
169,8.293923
170,3.8274882
171,8.620186
172,6.8273163
173,10.166321
174,18.597694
175,4.058943
176,5.701711
177,9.099122
178,13.959248
179,3.024866
180,13.515354
181,4.665689
182,7.7638054
183,5.047853
184,10.948013
185,5.2942915
186,6.2406273
187,8.792914
188,8.097663
189,16.148598
190,13.174336
191,7.575656
192,6.1312037
193,14.2754
194,9.6059885
195,6.02234
196,7.3743386
197,2.7063417
198,7.0556765
199,2.807518
200,4.682598
201,6.2202845
202,9.202533
203,11.071375
204,19.162704
205,16.170713
206,9.138063
207,10.7606
208,10.206255
209,4.7063046
210,4.894609
211,12.458385
212,9.337736
213,9.132617
214,10.562574
215,14.86394
216,13.238579
217,26.060394
218,4.9146047
219,12.229359
220,16.842176
221,6.5345397
222,7.100323
223,5.083358
224,14.346128
225,11.013309
226,5.0653405
227,4.322008
228,10.948926
229,11.127903
230,13.057143
231,9.860611
232,5.973801
233,9.44039
234,12.881727
235,13.749035
236,10.09026
237,15.0324
238,8.485708
239,16.185314
240,6.915781
241,11.156259
242,10.654787
243,15.427264
244,8.197099
245,9.718932
246,8.169612
247,13.530538
248,8.948134
249,5.2258935
250,17.723772
251,24.53315
252,19.335567
253,13.665705
254,8.914631
255,8.655676
256,8.936337
257,5.7043247
258,22.200775
259,13.503094
260,6.7527304
261,15.986416
262,23.8811
263,23.526413
264,21.215103
265,13.038088
266,15.704872
267,8.169864
268,16.309708
269,24.313875
270,8.915407
271,12.6556635
272,17.543362
273,19.963413
274,14.156937
275,5.7177076
276,12.846694
277,12.8217745
278,10.067974
279,27.509373
280,11.685005
281,19.923584
282,26.900314
283,17.544718
284,15.624794
285,10.859524
286,29.166178
287,7.0088224
288,4.6253166
289,24.736214
290,24.706337
291,5.987691
292,22.138767
293,10.4064245
294,9.830105
295,5.645299
296,7.0441775
297,10.208693
298,6.8703585
299,7.8915505
300,12.432188
301,7.252547
302,7.8381324
303,10.959682
304,13.846334
305,5.5682473
306,17.03583
307,24.711285
