,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,sum,mean
baseline,10.475424554968006,7.837938982173068,6.128068058799554,4.575237356840277,3.4695839853173576,3.091664038083572,2.843675733290849,2.3528661587314366,1.9080196256038764,1.5621151394677324,1.3345328862419663,1.1599936264121813,1.0464801766643563,0.9418285596872996,0.8390956013826958,0.7497047564388006,0.9895025980648848,0.9744079053211947,0.9987378787573485,0.9011954472834238,0.8598931388866282,55.0399662084165,2.6209507718293574
baselinepoints,10.475424554968006,7.837938982173068,6.128068058799554,4.575237356840277,3.4695839853173576,3.091664038083572,2.843675733290849,2.3528661587314366,1.9080196256038764,1.5621151394677324,1.3345328862419663,1.1599936264121813,1.0464801766643563,0.9418285596872996,1.3252953059019241,1.1349875675118521,0.9419109026043574,1.0686842075233618,0.8783784932011282,0.9490466500760244,0.9786463453041285,56.0043783544043,2.666875159733538
power1,9.992892054866234,7.463471551662066,5.842187361294415,4.361350324666389,3.312323711170662,2.967719197654653,2.726371411606196,2.2506800081301437,1.8204271014286852,1.485220216351809,1.2805608033749951,1.1236087688028662,1.0175329820862227,0.9165834752849046,0.8203041689304102,0.7363253364041666,0.6477713470096812,0.5765980318648913,0.5300004068252617,0.4985772798926853,0.4722543483654577,50.84275988767279,2.421083804174895
power2,9.992892054866234,6.480269679176838,4.377553671747239,2.7756904041008146,2.030000946808224,1.5829404348369518,1.3311496943273713,1.003184281702119,0.7240032675143566,0.6070516165766034,0.5376260957617569,0.47025384919138535,0.4201949005791842,0.3844452334101239,0.3577147910225388,0.33895754824157975,0.3292497508355432,0.3224259712105039,0.3171975442320668,0.3129659517650665,0.31037028167263325,35.006137969579136,1.6669589509323397
power3,9.992892054866234,5.831131257414799,3.3966153360887574,1.9611751257574368,1.4207431483945718,1.0070595341879371,0.7539813574068561,0.5774648050650183,0.4539516659499099,0.4033659287425045,0.3670549539195711,0.3368775580012228,0.3221413762858953,0.31481724060266153,0.31006179309427245,0.30567781172961145,0.3036606620252158,0.3014414452043478,0.30018918421779467,0.29961649175860877,0.299286943460642,29.25920567417387,1.3932955082939937
dqn,9.515141441752588,5.997314260994012,3.598911352785232,1.9749437422414342,1.6457457592424376,1.3845077029763242,1.1193313652241426,0.9590027601924634,1.0080296426695579,0.9573060000077181,0.9578112088660103,0.9235754687837859,0.8603299970179722,0.7984594711555087,0.7592539652439184,0.7317135582245681,0.7063522563663227,0.6850299130488657,0.6658285517166627,0.6553936968402952,0.6289303182052334,36.532912433555055,1.739662496835955
pid,10.475424554968006,6.119809024853357,4.830054724931767,3.91664532043091,2.530373976113982,1.664034292279558,1.6503318923887431,1.675219600869186,1.4814907352557327,1.2382926061999704,1.076317171607458,0.9531231398928759,0.8141586919501718,0.7113192218809322,0.7198343976615534,0.7062527724074237,0.7490350275783993,0.8138428030343727,0.8243080784235237,0.8185041972476849,0.8268488231863282,44.59522105316194,2.1235819549124733
pid_m,10.475424554968006,6.119809024853357,3.588675671641056,2.5183100945118895,2.269601100038534,2.11829781192949,1.9330693529834333,1.5457123136750144,1.2505089226982282,0.9842599844297377,0.8473766654833154,1.1916799023837417,1.0780271167792381,0.985380581164509,0.7787881163394387,0.8656705942934716,0.9056821207099197,0.936320424305286,0.9438520570741572,0.9286191371890524,0.9275978132024392,43.19266336065332,2.056793493364444
our approach,8.568737388741324,4.799449126124419,2.936566290268872,1.993851916991349,1.332858806323439,0.9900513194741529,0.7623286078308666,0.733371925335843,0.6370812958498966,0.6192328967489379,0.6168253569821138,0.5230556928515142,0.4881304690420147,0.43284641829354276,0.4037456977513008,0.38560278305526535,0.3733313345480489,0.3603203926602192,0.3488407095151377,0.3399508546558428,0.3353819472767282,27.981561230320832,1.3324552966819443
baseline,0.0025,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.0025,0.0066666666666666645,0.0025,0.010833333333333334,0.0066666666666666645,0.25666666666666665,0.012222222222222221
baselinepoints,0.0025,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.0025,0.014999999999999998,0.014999999999999998,0.0025,0.014999999999999998,0.0025,0.0025,0.25249999999999995,0.012023809523809522
power1,0.0025,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.3025,0.014404761904761905
power2,0.0025,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.5525000000000001,0.026309523809523814
power3,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.8025000000000002,0.03821428571428572
dqn,0.0025,0.03583333333333334,0.03583333333333334,0.04,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.0066666666666666645,0.010833333333333334,0.29833333333333334,0.014206349206349207
pid,0.0025,0.04,0.014999999999999998,0.019166666666666665,0.027499999999999997,0.03166666666666667,0.02333333333333333,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.010833333333333334,0.010833333333333334,0.0066666666666666645,0.0025,0.0025,0.0025,0.0025,0.3025,0.014404761904761905
pid_m,0.0025,0.04,0.04,0.0275,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.0025,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.27749999999999997,0.013214285714285713
our approach,0.0025,0.03166666666666667,0.035833333333333335,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.010833333333333334,0.014999999999999998,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.3650000000000001,0.017380952380952386
baseline,5.048709793414476e-29,11.372922735313708,12.14911012338245,8.743127945952104,5.821604669736244,3.238799770590536,3.2210378324848583,2.9973416548115024,2.042188657324822,1.1449056951877676,0.5903301782752417,0.3109033218442101,0.22979030786988158,0.1777528241888614,0.13294700759928618,0.09740750273108716,0.02786134198746212,0.04370268442522784,0.020520866763233902,0.051092428793810256,0.04438897382556232,52.45773652308785,2.497987453480374
