"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826664523,49.9690826629988,49.9690826629985,49.9690826629985,49.9690826629983,49.969082666521,49.9690826665147,49.9690826629956,49.9690826629969
60,49.9589192224445,40.3064490973902,40.3064384877953,40.3064512040342,0,2,2,3,40.858276620876,40.8548055452088,40.6723066297431,44.2978122357046,49.9203154711115,49.9690359169693,45.9978325151248,49.9690619005661,45.7007307974032,43.8779095868385,48.7193756853947,43.2490477290904
90,47.2864901112484,40.3064681258177,40.3064814791144,40.3059390302046,0,2,2,3,42.6769467315848,47.0525481934991,47.2021909328978,40.6407231941907,43.9940545772019,47.8873835860294,45.1982215528432,45.7119683563599,41.0293850998167,41.3212566771293,43.8084970288819,44.4904756953011
120,42.8199907747504,40.3064679046007,40.3064377434912,40.3063863034091,0,3,1,3,43.9126246975173,44.8073525604775,45.9582242197689,40.6746330542195,40.8620723824311,41.780148456836,42.8784862999299,41.8550499041436,41.6350338215267,42.0734174796593,42.521648413629,44.5737827473111
150,42.2581395244137,40.3066711647348,40.306417021958,40.3065325018094,0,3,0,1,43.8400113212042,44.1260296742322,42.1523145489378,41.0974235819351,41.1158329178688,41.1511859133872,42.2849608538319,42.5281366783706,42.4352347292475,43.1339825611751,43.1956451665949,43.0970004091022
180,42.2527229751798,40.3067597283743,40.3064606029223,40.3064336944824,0,3,0,1,42.9760382706791,43.5059221552977,41.426402272967,40.9379045251562,41.1265148278546,41.1537278925824,42.2781400361488,42.1233585998099,41.9146544629604,43.1864381361582,42.5522247015221,41.4103671247835
210,42.018813402959,40.3064669673518,40.3065610400659,40.3062620260778,0,2,2,3,42.0382407671466,40.5578138538358,41.096994877057,40.8834077495981,41.2534584768277,41.268763818096,41.7610551877071,41.6943632099514,41.3659298299412,40.6001235718524,41.7468740504608,40.8804819276357
240,41.4849114144466,40.3069158461559,40.3064153364324,40.3060094020978,0,3,1,3,41.334684114092,41.2265535322943,41.167288269372,40.4647200685074,40.6291859409835,40.7980890409803,41.2065137304598,41.2744965903928,40.4176166642308,40.5870986211772,40.9808722389116,41.0961783935859
270,41.1950704114878,40.3064321533992,40.3064096918314,40.3065398610348,0,3,1,3,40.7422539972702,40.7542101487833,40.9437537113771,40.411400703289,40.485569819915,40.6081133322342,40.7068331117162,40.5954025657511,40.4114176659486,40.5552789525778,41.0603522665697,40.9909047573834
300,41.0478795349171,40.3067739186755,40.3065044262801,40.30661376369,0,3,1,3,40.6541481455714,40.586642173128,40.6672976553879,40.3739492285751,40.3978791567156,40.4956754682252,40.5246833129299,40.5120003734949,40.5107528313666,40.6953987101154,40.7939400292872,40.8016633422849
330,40.709809406042,40.3067163580181,40.3064855365954,40.3064581778981,0,3,1,3,40.5558823594631,40.4817904703208,40.5549131284906,40.3578399976337,40.3850218938634,40.4186873573918,40.5645101937368,40.5812379904391,40.462403114433,40.5481387527651,40.7369438588206,40.6663225209631
360,40.5348014715373,40.3066605445523,40.3064741125509,40.3064203142524,0,3,1,3,40.4619386684519,40.4019164230035,40.4497129621045,40.3358056483561,40.3627797079929,40.3701714466061,40.5341996094254,40.5151942668942,40.3892082252382,40.4155073598425,40.5054712707348,40.515608846177
390,40.4743562171428,40.3064683282117,40.3064323373479,40.3062913344342,0,1,0,1,40.4515161759478,40.4437802388122,40.4529568494921,40.3654969351683,40.398680704192,40.4287826678874,40.5648476585637,40.5303819099093,40.3753491287201,40.485147251799,40.4676479813824,40.4752939624391
420,40.4582654609065,40.3065249302224,40.306442721555,40.3064635696115,0,1,0,1,40.419422270405,40.4630939645639,40.3680240762567,40.3640556201105,40.4399174645436,40.4561454020257,40.5177298298372,40.5006740613192,40.3572119402154,40.507647932407,40.4781165556171,40.4923774415877
450,40.4556748141316,40.3063847878992,40.3064231670127,40.3063496097891,0,1,0,1,40.3905170996419,40.4563948226393,40.4135126438805,40.3411765413922,40.4568000788531,40.4507965032795,40.4684894984067,40.4635310048244,40.3341728314183,40.4928221478436,40.4736247626786,40.4779682405877
480,40.4434370666045,40.3064740196902,40.3064365003682,40.3064509042028,0,1,0,1,40.3755975601528,40.4214593714426,40.4230387794231,40.3190814942799,40.4475868720798,40.434290445661,40.4069891539914,40.408892499035,40.3358472679096,40.4450864648749,40.4501122307512,40.4669464113079
510,40.3991338478191,40.3064755379727,40.306433652366,40.3064481307157,0,1,0,1,40.3752205066905,40.3947231774059,40.4109550279186,40.3193995174815,40.393021241367,40.4240413757931,40.3666472365672,40.3568229878445,40.3410732506775,40.4060965453805,40.4233754668415,40.4590144883437
540,40.3660643427693,40.306462510053,40.3064358586344,40.3064331651956,0,1,0,1,40.3720703889383,40.3750306210658,40.4019446952114,40.3179282644743,40.3269733132167,40.3863150308173,40.3587995668154,40.3544937082836,40.343470454957,40.3941537572431,40.4026873229603,40.4425699277136
570,40.3563978546601,40.3064544081195,40.3064357502637,40.3064531220349,0,1,0,1,40.3632035151983,40.3576020543965,40.3784287770495,40.3182079870922,40.320100538451,40.342098963063,40.357630103291,40.3545887938599,40.3325697495366,40.3923434594468,40.3958051786188,40.4271105325001
600,40.3578154604176,40.3063518236106,40.3064832329393,40.3063574700017,0,0,3,0,40.3624302003085,40.2981392410063,40.3669736321731,40.3523944152953,40.3503570076857,40.3480082060737,40.3774542886307,40.3723659285807,40.3518017251977,40.3122274128139,40.3413032726233,40.4035904464626
630,40.361465547991,40.3078427470746,40.3068700644909,40.3078506289757,0,0,3,0,40.3670652555654,40.3583025093754,40.3588373664465,40.3645391172952,40.3611600206649,40.3574541316162,40.3675380658068,40.3605832728972,40.3548073256229,40.310810197157,40.3339329767899,40.340089927384
