"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826664523,49.9690826629988,49.9690826629985,49.9690826629985,49.9690826629983,49.969082666521,49.9690826665147,49.9690826629956,49.9690826629969
60,49.5091864027129,40.3064582491103,40.3064384367659,40.3064280165054,0,3,2,1,40.669480395336,40.8545935182307,41.8048571874119,42.7573693331541,48.5142642382301,49.8003212611374,44.3010837935664,49.2602042341528,49.9204010119123,43.6323670996785,47.7268871441988,46.8154375375406
90,45.5255690032981,40.3059586469221,40.3064797649717,40.3068004567551,0,3,2,1,41.9902798380433,45.9180509375062,48.3935527284792,40.5105821238218,41.7818916321403,45.6169407925422,44.3190430742472,47.4601192209719,44.9813461748502,41.23366765616,43.5272861332614,45.6409163164089
120,42.2811192247156,40.3063787192788,40.3064751516374,40.306507029994,0,3,2,1,43.3661863578483,46.0556553155627,44.0307116455597,40.6120589911607,40.7859902759569,41.3159426298176,44.8976110720434,44.8566743428413,42.5733312851001,41.4407401638028,41.5953451154646,44.5835966873296
150,42.7636880037822,40.3066496509835,40.3064065171731,40.3064370788663,0,2,0,2,44.9844538132864,45.7771894751581,42.6333725318378,41.1093897992122,41.3000103255913,41.4131532171221,42.1919120369586,42.4088500445354,42.3858697634473,44.0280237294538,43.1092739341498,43.0292233041132
180,42.4247140384643,40.3063287432292,40.3064524445529,40.3061959462653,0,1,3,3,43.8838062598163,40.4981498801563,42.7271502867417,41.4126759141511,41.7757522056695,41.9870094633946,41.561140956274,41.5342805125483,40.6339335861568,41.1533382223672,42.0644265695549,42.6863584551144
210,42.0785626627063,40.3076369940932,40.3067263368834,40.3075359255154,0,1,3,3,41.7663523927008,41.3590440688832,42.0870781260844,40.67237045173,41.3570042483437,41.7614257860418,41.3956334549637,41.0629330607356,40.6770944361325,40.8379874276786,41.4673454252875,42.675469618255
240,41.5386662337227,40.3066045750095,40.306543938183,40.3068891740817,0,1,3,3,41.0230860787879,41.1962814562124,41.4987528493416,40.5879747785196,40.9108735124709,41.2487191430444,40.807708835499,40.6822868233319,40.6619882282656,40.5488707856802,40.7957101637889,42.0203907127014
270,41.2839233973607,40.3064134743692,40.3067330580341,40.3066337605119,0,1,3,3,41.0099921882783,41.0427082741481,41.154923037461,40.6760377134943,40.9425962700578,41.1319198186544,40.8076553057214,40.7138383032792,40.5811903550085,40.5365316366169,40.8332807907358,41.7218879882267
300,41.0500655361912,40.3065183234765,40.3065259304344,40.3067577191576,0,1,3,3,40.9999689447139,40.8168705524285,40.9228451507787,40.6710455007284,40.9470664072486,40.9893147754931,40.6357014824643,40.5443779977559,40.4345965075861,40.5094439196553,40.6472729996937,40.8631935089777
