"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.9690738516271,40.3064302058891,40.3064379156559,40.3064385917355,0,0,1,1,49.9690735111356,49.969073401883,49.9651224938024,47.516913710116,40.3788579300743,40.323361326225,44.4570402070592,47.3153433375684,49.5469908008949,48.6661776129853,47.8985152528015,47.0415998608498,48.4622599816657,49.9690737550642,49.9690738387103,49.969074010838,49.9690725250386,49.9684642400997,49.9658116188256,49.9690533445674,49.9690724437466
90,49.9951419155423,40.3065297898676,40.3064354643354,40.3063395024364,0,1,0,3,48.0579636896406,46.4614296162129,42.5756584500151,40.919170175864,42.2365825131661,43.0808657421481,48.159557367478,48.1358072097813,49.2850399305266,45.5233257214794,40.3179403579199,45.3385566814775,48.3710560738724,46.7061942141236,49.8684977701443,49.9880084639022,49.9730454139105,48.3744255917686,49.8453729552378,47.673331771668,49.1466257747521
120,48.8914051206917,40.3063153284145,40.3064344332949,40.3060549251552,0,0,1,1,44.1758721131236,43.2122098978412,42.6025381194985,42.6816512259445,43.5587493113375,40.3132209368732,44.1882017164785,46.4771645783303,47.8455418301476,45.8452823929194,42.6869291737608,45.8813229404844,45.8837595988405,45.8502499632285,47.3732773893494,48.2734617704246,48.9638506070366,49.2168079013627,49.7350833158973,46.5334215475071,45.3454576866685
150,46.9997922333604,40.3065024058507,40.3064425536087,40.3066671431976,0,0,1,1,43.5313559611023,43.3967102725239,43.328064033981,43.7026986663084,41.7296315919908,40.3143025238781,41.1920250162302,42.1891522962988,44.0664395718483,46.0970463151263,43.6631757723386,46.2435721748711,45.9971685613046,45.0577678309645,45.2711709466187,45.7822148243384,47.0987566322248,47.9942896992657,49.310028991552,45.7501600334457,43.8308859342815
180,44.041176071732,40.3066193672018,40.3064693841543,40.3066389944578,0,2,1,3,42.1951598922505,42.0799437195712,42.0593270614404,42.1158677063262,41.00495455756,40.3343250028907,41.5550622862206,41.6255009861412,42.3309000353158,46.4080072678021,40.3027837795437,46.4394528310171,46.2262956551002,41.1756924659852,41.7855275545193,42.4442108462848,43.5201497461528,44.4210078842041,47.7804860346399,43.3645650785939,42.3432684712784
210,42.2033369114749,40.3060749598995,40.3064745126927,40.3062954797292,0,2,1,3,41.9169950635287,41.93188260281,42.0967476258707,41.5977413699541,41.3426136757129,40.3028612628556,42.1093595788816,41.9789703472709,42.5599112193017,45.3632076050202,40.3075088736191,45.2306430157016,45.634509676735,40.4293264837816,40.7459749120013,40.8129466847606,40.9803862552432,41.1839196338367,43.4894866057182,41.3969817868048,42.0043214803195
240,42.0587696130587,40.3063538832649,40.3064672215148,40.306702882901,0,2,1,3,42.2387393242785,42.1347736281228,41.6823902535811,40.9829494735063,40.6533810472555,40.3130890026048,41.4896723809861,41.9093114166463,42.3677260914457,44.0658968721848,40.3244423116968,43.7637151920385,43.3855867649622,40.6088864165026,40.7992973813598,40.9735341555601,41.1798314228171,41.3774777339576,41.759274258752,41.1040960195349,42.2958801191928
270,41.8250315442432,40.3066679387564,40.3064835172115,40.3066442551981,0,2,1,3,41.9274588559493,41.786513091225,41.2917712553419,40.819000784553,40.5559656580391,40.3083574651079,41.0717962382588,41.4243770672919,41.9088666442335,42.7843851740264,40.3181986149172,42.728643627551,42.6042657020702,40.5929018693139,40.6066208291159,40.6247452731249,40.6982851574105,40.9482688755985,41.0656490717812,40.8538754762624,42.0484170811516
300,41.6333839321633,40.3064897473714,40.3064844731125,40.3066314313388,0,2,1,3,41.2521812260165,40.8654823602778,40.6075014193206,40.5787648865519,40.4557096342579,40.3074340358796,40.8239272800516,41.0658065883476,41.2205985659274,42.0394078666671,40.3128020955487,41.6811005275073,41.5045695283794,40.5328059440066,40.6819532343046,40.7129757889394,40.8008677160046,40.9466932025129,40.90859778254,40.7668268045671,41.5471030884592
