"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
750,40.7002320520225,40.3055685749002,40.3063864709666,40.3060932829436,0,1,0,0,40.8767510843979,40.9710415840372,41.158063998863,40.3046718987724,40.425579439311,40.6238609922308,41.0807266935049,41.1575758298639,41.2166489347463,41.2528639704573,41.06500661907,41.1548753127331,41.2051946806514,41.1635506323873,41.0759520605198,41.1058034818595,41.1870072194191,40.6777053958036,41.1041793805319,41.113269717672,41.1896064636609,41.0858237305091,40.9758898457636,40.9837068945256
780,40.8765969224659,40.30638160434,40.3065183564968,40.306277869229,0,0,2,0,40.703324916711,40.413375745395,41.0210328420316,40.4708871997122,40.7405714610132,40.8516926305233,40.9441067853742,40.9778411078217,41.0533862943754,41.1298782753504,41.1354681460866,41.1815391530143,41.2464917534991,41.1775244538588,41.0618887866812,41.0755432875003,40.9104116723621,40.3210895667796,40.4191871306416,40.562758596457,40.877447646511,41.0434077354624,41.0469221961971,41.0051916353389
810,40.9399134074103,40.3068965910635,40.3064850356302,40.3069691136054,0,0,3,0,40.7694966618395,41.0432871469293,40.946178732826,40.6513685053272,40.8484014995849,40.8901103202281,40.9121166334109,40.9553428599646,40.9888545188382,41.0522403994474,41.0426153047179,41.1019924964183,41.0581086653622,40.9800922859459,40.9072309014706,40.8931163339553,40.8354095264511,40.3149357183129,40.3767634989289,40.4059847145718,40.5027426685552,40.6395362805153,40.7227609038743,40.9437070672402
840,40.9354009349078,40.3066370671794,40.3065315614805,40.3066951819756,0,0,3,0,40.8377221246043,40.9379548015365,40.7382950490268,40.7860980386843,40.8964557447104,40.9031122177921,40.8931487462664,40.8542401884946,40.8115349597895,40.9905759230069,40.9229872374957,40.9292195888439,40.8556829769789,40.793053349126,40.7017884127803,40.6424032385859,40.691126723856,40.3106363302093,40.4755879635915,40.475349433067,40.4750126635839,40.5015408196933,40.5229300807014,40.6640433516572
870,40.9156325904342,40.3064262623584,40.3063930969578,40.3063198841994,0,1,0,0,40.4350936638761,40.7848342011625,40.6786437786581,40.3076881015041,40.9050872338808,40.9080766426399,40.9125704474761,40.8766789968915,40.7744554030419,40.9539113723078,40.6005166186996,40.8774125257942,40.8281405945832,40.7429747549329,40.6923427006886,40.6676978036051,40.4660215266739,40.3528102788861,40.768468038474,40.805722604339,40.7472598745635,40.777127863658,40.6950141017832,40.6755429536158
900,40.9004882673852,40.3064391839799,40.3064794975914,40.3065306829259,0,1,0,0,40.6643085955474,40.6912319951522,40.6995944131313,40.3077734238655,40.586981886483,40.9042465849377,40.9150397544848,40.8816206665182,40.7702018294957,40.9059975051898,40.6028115524077,40.7248840434412,40.829517940196,40.7329499411312,40.7094446264146,40.7024570073854,40.6460672315732,40.3879998794862,40.8050995667491,40.8038701738971,40.8086763831966,40.8163216134552,40.8003067746949,40.7323067772453
930,40.8863912931878,40.3062252319841,40.30638044709,40.3062289978521,0,1,1,0,40.6540868732117,40.3224917622423,40.7267429983252,40.3087249283301,40.350967879802,40.6416224446322,40.8841285069757,40.8919875951705,40.8061100474247,40.8964446269254,40.6255540127441,40.6965505974614,40.7952397378253,40.7354745627038,40.7245945208064,40.7345856462611,40.6803631522154,40.3074733207647,40.733533618741,40.7568710998618,40.7686303869189,40.7876616220638,40.7992364374853,40.7627892950265
960,40.7359294023441,40.3065927752304,40.3064725011993,40.3065539801032,0,1,0,0,40.6065456041492,40.512851589567,40.7456672130799,40.3083406398767,40.351360617654,40.3783122725281,40.529523072663,40.7029479445839,40.7601436221748,40.8751566255644,40.6219090325076,40.7580854161009,40.7543394722937,40.746086918183,40.7629191984108,40.7858681331224,40.6508972957009,40.4923112140978,40.7758532513238,40.7432949345656,40.7439901460195,40.7595758238374,40.7817330546412,40.7726344769681
990,40.5587320247451,40.3064623499819,40.3064356769357,40.3064357958014,0,1,0,0,40.6235615679902,40.6130833890939,40.7471106736904,40.3090072774112,40.3685848025033,40.3725529883634,40.3859983785992,40.4423993178227,40.5059295124932,40.7303168981342,40.6627717241532,40.7516518695777,40.745693226529,40.7453045440797,40.7487415723964,40.7271769942804,40.6396105483793,40.5988557663078,40.760450770908,40.7400041372934,40.7396319670073,40.7594715579179,40.7501718120395,40.7630062376788
1020,40.5344914789762,40.3064654002623,40.3064358719546,40.3064426416492,0,1,0,0,40.6774459963435,40.6588094744139,40.5985608954581,40.3093281740596,40.4013078138927,40.4075255585612,40.4084123505846,40.4112082413478,40.4203953489972,40.5039305399706,40.6980391743395,40.7329069056051,40.7259045775861,40.7195589235816,40.71089480089,40.6602721110617,40.5599257528144,40.4841642184763,40.7500072306156,40.7334511788936,40.7313559068608,40.7284137881311,40.6648626255273,40.7332250231521
