"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
330,41.7359001724976,40.306445984405,40.3064494023118,40.3064462242094,0,1,1,1,41.2252458866618,41.4860043151142,41.0091846082279,40.3129118909851,40.4579793406561,40.5205915539407,40.6386724079762,40.6829212018183,40.7327935346936,40.8217872105301,40.9486358425824,41.0162217460244,40.9218902424074,40.8420417075417,40.8490983743295,40.7851262035197,40.4499291116553,40.3103841947481,40.6175455956997,40.6808563716772,41.02240721485,41.8437935985532,41.8968466218814,41.4424760090795
360,41.6043296002526,40.3064272363352,40.3064237160962,40.3064193622966,0,0,0,0,41.3594051743122,41.5013681166766,41.1962854568056,41.1917969890994,41.0341350963167,41.0126673673989,41.0438390741189,41.2049767415098,41.1816370912676,41.0968836686554,41.2224319734865,41.1679687938389,41.1582761307133,41.2062329921929,41.1649509198932,41.0457804081096,41.1478189843938,41.1306994328753,41.2138838411483,41.11260456829,41.1315658904604,41.6941337546897,41.5353201706897,41.3276740609103
390,41.4887373632226,40.3064507370492,40.3064437291954,40.3064455159753,0,1,1,1,40.4256501716751,40.6235591485121,40.6502124572388,40.3076627351187,40.7808174975406,41.0875026914364,41.1646009919558,41.2180965324553,41.237714812855,41.2125706056001,41.3643990759555,41.3403043164562,41.3648146087278,41.3487977807805,41.1613816491581,41.0521461545048,40.310405903311,40.3079630297675,41.1341182638513,41.0343349579231,41.0555723337247,41.6749985970998,41.2947893227251,41.1855775914167
420,41.32264972078,40.3064941908562,40.3064981172455,40.3064904535758,0,1,1,1,41.2849824445331,41.3333558972463,41.1191793012984,40.3174377268142,40.4127625216272,40.9142471984441,41.1087419352475,41.1674537051264,41.1887033926723,41.1637462692182,41.3178825522584,41.2602053843041,41.1705732579473,41.1130198880664,40.8874750748358,40.7960085887057,40.5436819554691,40.3145761336004,41.0367790727724,41.1219558024253,40.8872361215513,41.4387722124981,41.1785515242962,41.3531818865743
450,41.1515561073367,40.3064625165906,40.3064558619403,40.3064576425905,0,1,1,1,41.2900224684775,41.2185859149049,40.9674393159889,40.3122782484677,40.4286882564176,40.5074051904788,40.8052806770059,41.0935249431568,41.104931911996,41.0140008708836,40.9942480637389,41.0021937837302,40.8591505138895,40.7091286491102,40.5645710651641,40.5417295678546,40.4968822388526,40.3105870521789,40.5129492700555,40.6887309975656,40.7423218600855,41.2340520449339,41.1138022218593,41.318093015703
480,55.6015559516054,40.3064560823946,40.3064275660573,40.3064262898233,1,0,0,0,49.8397972177689,44.7065821070778,48.9203939828486,44.6876829846257,48.2165731757134,53.2423420138357,54.9573958995279,54.5599809739407,52.6902530395759,48.7163453490229,44.8848710708053,45.2088107831647,41.4658771238734,41.2435185330338,42.4478796611061,48.3075783372283,45.6573761898363,41.1414521893068,44.210288513219,43.5356038736382,42.831609852611,45.6146050462662,46.6664810596438,45.2275650997387
510,46.207738285168,40.306425804085,40.306463897664,40.3064959706487,0,3,3,3,40.6471675381865,40.3991175954401,42.0976091513787,40.3110498323474,40.8814581608784,43.28959376928,46.7358389165438,49.2978428039951,50.3094723129046,49.9733348170654,44.3199454052974,45.1842705015461,42.5707085563736,43.3680248968043,42.8585867093245,48.2877589787835,40.3071721994324,40.3050687243868,41.1451563769428,41.4086747860319,43.5016601362866,44.0857512670608,43.1431546520823,42.6820524335661
540,43.1194347083676,40.3068584865109,40.3067860696421,40.3068019833819,0,2,2,2,43.6168685671363,43.7990698364815,46.1141274571786,40.3434033490641,40.9679284173517,41.1853021409514,41.8948579557117,43.6816675242085,46.1043571229926,45.8471226776474,43.8352982829409,44.3748146270879,44.3983852497913,44.5312478924532,44.8815465787187,46.2852488518583,41.8899764903268,40.3475000075275,41.5463337820015,41.6990562792749,41.8342916198483,43.539111681172,43.572275450828,44.7275469827687
570,42.5224916283699,40.3062571538231,40.3061987836284,40.3061534425913,0,2,2,2,44.0749859498809,44.0471569771002,44.3667896261142,40.3317718899441,40.7734942797528,40.918318114965,40.9973784074554,42.3347253802312,44.3072630264519,43.6212246586632,43.4642993290879,43.949383490811,43.9851556881817,43.4546511088163,41.8175317129922,41.5992069108803,41.443298267927,40.3119571504177,40.9339276307582,41.1066396382332,41.1862829773583,43.1800276381532,43.161051491955,44.1669337593134
600,42.0070206303394,40.3067085951937,40.3066666956626,40.3066103880014,0,1,1,1,43.3950157295533,43.0221563536171,43.0304554066978,40.3188158190256,41.4334510557794,41.4977921156501,41.45879664485,41.9274765540565,43.0224561175597,42.7779393452658,42.4594176201427,42.6865627936569,42.4913749540543,41.9502914414226,41.6248730450098,41.3061996132843,40.523720154298,40.3269220039558,41.2816083985765,41.5063249491977,41.5898061377673,42.5813100107072,43.2970827853862,43.0065667864655
