,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,sum,mean
baseline,10.475424554968004,7.142442883135758,3.4928559759452256,4.0220024985549925,2.3181007768197257,1.770549360991466,1.256344836148593,0.8858576564538656,1.1567497656334818,1.201392220262061,1.080400176219366,1.074079703521421,1.0634609309936598,1.074464126652405,0.9301330105917472,0.9230715285399611,30.280547392436187,20.77085065839701,12.20901861693568,7.39225614908756,5.110456544024865,3.426447588741326,2.453938747333553,1.838493328666794,1.2053722475643596,1.2269585099908322,0.8705967229796115,0.9527269781024604,0.9689214299797925,0.9734959990487189,0.8647306364981617,23.94776482229902,18.18234227583473,9.51332702294488,5.617597654713395,3.770148859814466,2.7698217105402003,1.8779411068994345,1.4663775541664397,0.9283143116223006,0.9637246874728603,0.8490499509865482,0.9150817376138866,0.9335939133526537,0.9383376466183672,0.9378744646009821,14.71700428636583,10.116262937245278,5.882023835514578,3.765583760976001,2.4860788271479413,1.9074213154121722,1.6475269111189732,1.083143380326599,1.085593405072642,0.8000757915830073,0.8725433578960993,0.8969937155332133,0.9036272428244535,0.903942178163634,0.9026086312831599,5.196778689685266,3.694138109605833,2.249917454881694,2.1080928025771732,1.315799358820253,1.0881120984531454,0.8225675875051678,0.9464641093760595,0.9770162786987668,0.9849556301632864,0.7808883852722279,0.8077913365688133,0.8059638247524054,0.7971306268414139,0.7907236630440598,4.056602763237779,2.537874725848567,1.69082764175744,1.1472736410756,1.3174897459239119,1.3150600480015744,1.31651341083776,1.0629011584385082,0.9898268095658599,0.955430479477214,0.9310939631098142,0.9156070843302799,0.9028659700571201,0.8931863655207868,0.8842275571816605,0.8758790147722398,0.8678629182176977,0.8603056861013987,0.8532294635238993,0.8467610206897731,0.8408898431968997,0.8356975993463346,0.8312087554302465,0.8272676663915808,0.8238923250662082,304.73998446450815,3.0172275689555264
power1,10.475424554968004,9.105314235342743,6.361555555355979,4.3431122113402205,3.0966740092829266,3.225231604622242,3.102936382688735,2.4723822933484785,1.9149814514693602,1.5180004622191656,1.3470688158958122,1.2344231790390259,1.1306399659365653,1.0108496007034267,0.892048290018614,0.7908622610484073,23.185011804881984,18.302122750816135,15.247163378811242,12.910444069941343,10.922337239621216,8.854728566639137,6.980758570998785,5.5925563276103,4.710349068147705,4.088447670146307,3.483579612246966,2.8913472795139734,2.443588436775145,2.164844529813992,1.961405624721786,19.359749811666724,15.78656537216833,12.868495421832886,10.979114890438217,9.258908544168127,7.716227782255953,6.2816977572142285,5.1407040345345685,4.350182102119414,3.734763397958966,3.182308691599066,2.7414102904623334,2.3565911035109126,2.0545144590388262,1.8138759780926204,12.768391627076754,9.380776933276053,7.944234201251553,7.313297288868104,6.103750252970298,4.916971680868554,4.014240533221781,3.372721134345213,2.912879258885413,2.5269243673648676,2.17358196558902,1.8526319044318798,1.5753906231611334,1.357222430969952,1.1921386294324274,4.630238143717533,3.552190485013566,2.9737630028031607,2.6348417965790927,2.2662079036075062,1.903833960930695,1.6245807570125463,1.4074902448141537,1.225713102109854,1.0879156576635387,0.9684379473947407,0.8601997850198208,0.7664028432779806,0.6903935540841464,0.6338471704183125,3.1683688117081727,2.2948230017102387,1.8746997373558272,1.6650148534570932,1.373054170641293,1.0584202480616265,0.809923271068114,0.6092277347555187,0.4634885186441873,0.35373455334338594,0.2609427547948537,0.18311970346637405,0.14236368090829313,0.11817944247455946,0.11145577771990627,0.11235986419766135,0.12147067006697986,0.1354950269247856,0.1549932252029142,0.1780129625089008,0.1975767879511537,0.21387831902310714,0.22714664464969256,0.23811474192854074,13.858250239868,409.9406233696177,4.058818053164532
power2,10.475424554968004,7.939502433164013,4.474986278357666,2.521427471957947,2.1222034945494346,1.7658546636097483,1.46047279467072,1.0253781738605183,0.7093670637724259,0.631640874660079,0.5741614325277785,0.4983102130931736,0.44001117944256646,0.4005905931104612,0.37006655848905345,0.3472129328363939,18.57791821769351,11.5241592675342,8.178795600094135,6.013346258423273,4.581039903376014,3.513844512217873,2.7428310219170284,2.140062200363173,1.6346573806146794,1.2770259165865459,1.0329253093553143,0.8651069980929862,0.7376551182800597,0.6400176883409946,0.5644384511620341,16.351172132726603,11.345187266826768,8.395717866557225,6.037133174487621,4.549174361534294,3.4410758511537867,2.590795116848766,1.9765142135587317,1.542581835175694,1.2368779538827945,0.9970457882029673,0.813087471409626,0.677842936558172,0.5832694076416662,0.5132643587214185,9.721995051078105,6.881202362929281,5.0447539843198195,3.6638681587763333,2.693011958507527,2.0897797704128522,1.6299460237032075,1.2934782292024878,1.037842589387173,0.8502490106897265,0.6984496196262261,0.5866463005413327,0.5095590813878933,0.4567024228767721,0.4177901545342067,3.3669443400201593,2.4149459191823195,1.838679698603094,1.3869250320041657,1.0758857360953864,0.87767452809246,0.7278182723685954,0.6177951035208532,0.5351128281983316,0.473974775784806,0.42669357770024113,0.3925753150746795,0.36880510797543925,0.3520486348852482,0.33984608689290735,2.729907590875122,1.7669318530684117,1.2115237235926013,0.7650328754081196,0.46166019101640593,0.28648572702555364,0.17530179773524612,0.115264705403681,0.1161508341263494,0.1427952679996281,0.1833211360439113,0.21481453300586678,0.2377020821421392,0.25490353707832064,0.2673201893440648,0.2760742599602262,0.28254701668201343,0.2875557208852541,0.29137491454552655,0.29421563428224007,0.2963338339212607,0.2979202745716814,0.29910878071560015,0.299982782714973,0.30061789744507195,225.45702112636886,2.232247733924444
power3,10.475424554968004,7.142442883135758,3.4928559759452256,1.7690722462706991,1.5313301858511863,1.0746891782655401,0.7266797648641268,0.5642175167100935,0.4629037450471941,0.4146323678105536,0.37448624122201435,0.33790122605752043,0.3253202498440729,0.31893759557901263,0.31086085108458644,0.3062362659912731,21.616976578180374,12.77267071313034,6.884903392053029,3.7603100765295787,2.218297124376067,1.5110793849557547,1.109329214512266,0.8450970807052395,0.6620027524711598,0.5294233105264463,0.4463694299661322,0.39554728116707927,0.3646824025592262,0.3442110196108601,0.32947405763995996,14.529960359361134,8.294783967746667,5.271533987886587,3.2590076905677114,2.1498380691887125,1.5234395944761934,1.095395914693286,0.8242933690328802,0.6530457387927399,0.5337897706989987,0.45138142311994806,0.3964967669577741,0.36257620083018055,0.34106191124726687,0.3266218663217785,8.404051693406553,5.17343776596258,3.214291549307368,2.0653316914275326,1.4160270602650864,1.0552499111301263,0.8041596117622395,0.6389525785267334,0.527055714196193,0.4484483600151653,0.3939913553303384,0.3597426846813003,0.3385334588243808,0.32466517529768074,0.31526204970072674,2.8917002717318794,1.8105427459029135,1.2204406575278146,0.8635227469667053,0.6557451727953544,0.5393150533022932,0.45741308776551365,0.4036682842836143,0.3673549458352582,0.3433239355644209,0.32714131228831983,0.31676402360606676,0.3101564324494343,0.3057930903212461,0.30292536983406015,2.329996080316681,1.2145168144157135,0.6266103346068268,0.2992511312725336,0.14745244438117974,0.09584724621836595,0.14293916153469297,0.19501790089542653,0.22967411013769948,0.2524426416499177,0.26786383215584714,0.27793543672332677,0.2845436572263466,0.2889167177412863,0.2918453322793596,0.2937714568160402,0.2950044352697399,0.2957523318504803,0.29625520700874025,0.2966318768844938,0.29689828569096527,0.2970645952481206,0.29714318076378277,0.297186323631207,0.29721641836238555,169.93437604104224,1.6825185746637845
6points,10.475424554968,7.825924269579265,3.8490716243812635,4.117635336166383,3.186679374256135,2.5607354416945185,2.210880994362116,1.798508499862051,1.6135130873486503,1.4623474649480503,1.3386141310833974,1.212415320957002,1.1075621987659154,1.0070249279452999,0.8993970133619863,0.8082868190264657,27.702902814093523,16.06074367435205,10.342950183234485,5.807841605084885,3.7384875344474353,3.824472125725117,4.240576836685901,3.4741273007065687,2.6619287995437184,2.1930996894983017,1.9086324087169497,1.710073924523699,1.5079240130440361,1.2989856301341487,1.1632542460639523,19.903653644360602,12.180103815900651,8.289747265068398,5.096357803742383,4.529326326824401,4.1626065955794855,2.7000676474763807,1.6449113680903018,1.484201428395334,1.2868319701089845,1.1023407109606005,0.9909282372608139,0.8663760488625994,0.7700933915074325,0.6980419196464686,14.664959382186382,8.398460028101017,5.357091682230398,4.968129113478085,3.966131289800933,3.6656060927296195,2.3523805961338993,1.9194325974541009,1.6466905107865817,1.383178816152417,1.242206548109967,1.1122848974255664,0.9519199108728683,0.8452224052445155,0.771916411039251,5.51063492550955,3.3218288546544357,2.6314861587804814,2.1658959849017165,1.783613526287585,1.5409065406669338,1.3662725966358817,1.1934398235520003,1.0300514898723516,0.9093137876526983,0.8057252259968664,0.7166576557865341,0.6499201872567172,0.5971198116517632,0.5523015400415664,3.2538131525382656,2.390925826129184,2.038406235375651,1.617006352953452,1.2326929073205182,0.9726104535593691,0.7653208136760341,0.5958585433696998,0.4567269246304164,0.35270933517134867,0.2800218664887346,0.21747836365285048,0.15970989199540023,0.11484264782513165,0.0826507271412152,0.086409798079733,0.09683804899688415,0.11626185313451505,0.1403619672454338,0.15969018454651618,0.1849975123871026,0.2011510153818321,0.21505338773866592,0.22878999773560219,0.23971836427494964,293.0364345806873,2.901350837432547
9points,10.475424554968,6.876116335207825,3.5798845254338567,2.460932945068122,1.6992396385207986,1.2204703445532015,1.0056047650798794,0.9114920720240226,0.6854583018605085,0.6950259043729,0.6935044202838907,0.6584359807240551,0.6177762955448658,0.5767750633199553,0.519017642489777,0.4629147358205551,22.755234586092325,14.331365039732312,10.164351943599042,7.515519326068987,5.27751484409599,3.972239558059612,2.7537939050190783,1.895967638477343,1.3579578667387326,0.9247665042654442,0.6816799858153888,0.6456307672572466,0.6498773017412568,0.5975297249925018,0.5416673237320005,19.11802921150509,11.438116975787787,8.226907841875455,5.237931743280478,3.9094686947344104,2.4465108724101245,1.840156044731222,1.3914764535135664,1.0377362399942567,0.9362136220572105,0.7916199664551331,0.752230602027557,0.682007788711033,0.6266074160250533,0.5802114968459675,11.16453703461431,7.095903938681667,4.8145162616915105,3.482452565541099,2.402982233582157,1.5916385296140976,1.1508220709688786,0.8944381092287443,0.8231539781403335,0.810406227377677,0.7550077250688226,0.6967346222177437,0.6492256607862572,0.6028733079586451,0.5591875382521576,3.8893310913388444,2.5648155749827675,1.9520993015418346,1.400996926137277,1.0551153940277342,0.784434123733022,0.7019669079493127,0.6793820935016126,0.6352873737902571,0.5930866145110775,0.5560582747641997,0.5236177537355999,0.4924979764937013,0.4646553267603437,0.4419951685565885,2.9394603078962662,2.3835254087717903,2.438014488451879,2.6271308227981893,2.670026167498568,2.6794331745526785,2.5140114909468654,2.3037597658245335,2.1557621541120673,2.0443567056226004,1.9054451943779658,1.7372053099287343,1.6570137687554336,1.1325322170238208,1.1610023512128231,1.1816699134093551,1.184935299614676,1.091397414325232,1.0881943154091,0.9992078104317533,0.8998450831038893,0.8470187739222218,0.7716431478694553,0.7038280271889997,0.7186230222912218,262.2826566518022,2.596857986651507
15points,10.475424554968004,7.142442883135758,3.4928559759452256,1.8273189053764005,1.6851808617887263,1.6677022645150543,1.3366809137383464,0.9645083012679928,0.896778844730413,0.9963566132497187,1.0083321907564742,0.949361615188792,0.8828481688888791,0.819537986241014,0.7745866919010477,0.7284981094926669,19.165294442646132,13.341842104783222,7.828729557448679,5.980045217146134,4.677933864026873,3.4739250755629674,2.3698675677801595,1.4423319290418193,1.2550457504151538,1.1143065400350878,0.9012525257829073,1.0100671921348403,1.0005655424319804,0.9637705338828799,0.9285277070474062,19.736001453664098,13.501498531296459,8.251567019934248,5.784627811272541,3.9885257148613538,2.8287545742716933,1.9026420759408793,1.5300726047652247,1.454161118286853,1.1682327055210995,1.0447139926677333,1.1130802982458794,1.0477160298080268,0.9074291809190209,0.8882773076820001,13.443542026325913,8.570848763223905,4.9829435722885185,3.3451680397063464,2.2592243299224672,1.807054474670753,1.7025274882152872,1.2138102582616719,1.1112917135391869,0.9803222220145258,1.0129058793866677,0.9111373673538992,0.8476573759940531,0.7889895809739135,0.7632358977662416,3.8246488237204543,2.142274897765995,2.057848513425446,1.5944973262250803,1.3760031970839193,1.2107579417361143,1.1223251779022196,1.0060617219582515,0.955064273964498,0.8809511963787273,0.8420608534993809,0.801072360044706,0.7572082752603075,0.7209739678098278,0.6844824043556732,2.680975777981819,1.667843540879126,1.3857288194912798,1.010789656504294,0.7341916796622939,0.48754426705272635,0.45481534076611374,0.3563702305766815,0.27527563731779264,0.21662368043994226,0.17139821698567345,0.1329074696276147,0.11528125693996003,0.10532115406398077,0.111221221963847,0.14220733051529919,0.17231825195705378,0.19756213324026436,0.2162678130259015,0.23148072435200032,0.24332023112714532,0.25283709885703304,0.2607937332454005,0.26763003030753985,0.2738415806992677,242.13065764884192,2.39733324404794
baseline,0.0025,0.04,0.04,0.014999999999999998,0.04,0.0275,0.04,0.04,0.0025,0.0025,0.015,0.0025,0.0025,0.0025,0.015,0.0025,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.014999999999999998,0.04,0.0025,0.0025,0.0025,0.014999999999999998,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.0275,0.04,0.014999999999999998,0.0275,0.0025,0.0025,0.0025,0.0025,0.0025,0.04,0.04,0.04,0.04,0.04,0.0275,0.04,0.014999999999999998,0.04,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.04,0.04,0.014999999999999998,0.04,0.0275,0.04,0.0025,0.0025,0.0025,0.0275,0.0025,0.0025,0.0025,0.0025,0.0025,0.04,0.0275,0.04,0.0025,0.0025,0.0025,0.015,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,1.815,0.01797029702970297
power1,0.0025,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,1.502499999999999,0.014876237623762367
power2,0.0025,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,2.7524999999999995,0.02725247524752475
