,CCS,CCS_M,low setting,medium setting,high setting,DQN,PID,PID_M,6 points(RH-rainbow),9 points (RH-rainbow),15 points (RH-rainbow)
FV,2.5565084400039675,2.3842582792631166,2.1258176666748767,1.2955798402562853,0.989505959718664,2.184409445285702,1.9763269698377628,1.9445562914058707,1.798783494274802,1.4344150334889476,1.6466237117873421
EC,1.2733333333333328,1.2399999999999993,1.502499999999999,2.7524999999999995,4.0024999999999995,1.6983333333333333,1.4108333333333327,1.3649999999999995,1.723333333333332,1.7858333333333332,1.331666666666666
UF,1.933582775643646,2.171706247583174,1.8042813352036935,0.9453574150572139,0.5908327645577373,2.97051321488682,1.7939791365157207,1.6068708462642636,1.0371041021984684,1.2209600937636886,1.2901315830662319
R,-25.737464848924596,-24.09832451336805,-22.47235900007389,-18.3335518956399,-18.912220304134646,-23.52190722979354,-20.88249828409542,-20.47433995598617,-20.117940337362104,-17.005290856956083,-17.70405785053052
