"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,43.0886697704435,49.5691930961367,50.4264695158807,44.5824176676371,50.2694760330638,48.030748803812,42.9153964761135,47.7662482222929,43.5324780441806
90,49.9344311661114,40.3064934527662,40.3065307621325,40.3064684354319,0,1,1,1,42.6988207040083,42.1906851214154,44.9131265682334,41.4206834899492,46.8017083110749,50.3981465310232,43.737647494758,50.2046115019013,43.1156850335875,41.908361151308,44.8427840332997,42.8289471569476
120,49.3889997375922,40.3063374233243,40.3063513955087,40.3063179556131,0,1,1,2,42.6238461738568,44.213743045594,45.4218295965551,40.6841177409847,45.0033986429251,50.1056477659501,43.5483305391579,48.7951094754528,41.9545246929066,41.5345256030079,43.3099207794451,42.3930497249753
150,44.7941487577194,40.3064883662921,40.3065076680886,40.3066386895989,0,1,2,3,43.6990612584727,44.6221915481292,47.4144069312333,40.9940280494055,41.4933565391847,44.1683748493746,43.3490490827082,42.210045119785,41.8970511814052,41.414574215667,42.4902055362076,43.2615686566361
180,42.6006920679654,40.306551992509,40.3064045996324,40.3064931523618,0,2,2,3,42.6324536433627,42.8207922179255,43.0646102856352,40.4793592279952,40.6837799709876,41.0345442590582,41.5459725951242,41.4790858436017,41.3184522890214,41.5609673270556,42.3112470745686,43.9911990535394
210,42.5506927038646,40.3063484495313,40.3065051134552,40.306546955117,0,1,2,2,42.401940980336,42.1561520130867,42.2482031523316,40.8555734537009,40.9856722838414,41.0481296747589,42.2829033687881,42.3176054827592,41.4999433850495,41.1602017587991,42.6598806872005,43.4454797039527
240,42.4392437063233,40.3064859399017,40.3064823935164,40.306450358114,0,1,1,1,42.3117509120982,42.386973980777,42.4189273600418,40.9552684447087,41.3030467202353,41.4991195936111,42.569129285231,42.355351050757,41.1891567033232,41.414072251422,42.3883053023883,42.5198071798675
270,42.2358220236244,40.3064104902954,40.3064731204713,40.3064348928506,0,1,1,1,42.0631228966597,42.1585458733952,42.2809094046725,41.0925396677693,41.4253881663718,41.6164000241568,42.4378899286952,41.9960742021596,40.855877376185,40.9518685280924,41.5485557313551,42.1404567231658
300,41.9363148624478,40.3064887245432,40.3064667155025,40.3064741304276,0,1,1,1,41.6960706728648,41.9713560552787,41.9340064860289,40.7956906239729,41.344674605857,41.4034963345059,42.0410005073367,41.2082579571283,40.7652816847751,40.803433144681,41.0075861980315,42.0824925831461
330,41.597145820172,40.3064749806935,40.3064593311028,40.306465590491,0,1,1,1,41.5356997512936,41.7473828000442,41.4815447215689,40.4917222074555,41.1574624861549,41.1895365875402,41.5632665044902,40.8933862002322,40.8225111896444,41.0145303310359,41.0493141546763,42.0187860139838
360,41.3594863749338,40.3064318492395,40.3064420145182,40.3064399281278,0,1,1,1,41.4314186266001,41.3092582072726,41.1528028213121,40.4456040107363,40.9670270515965,41.103923761029,41.1475874169058,40.8550662110275,40.8041925249411,41.0079366959407,40.9699211027074,41.6655870879728
390,41.1534829726332,40.3064638065079,40.3064517102206,40.3064658795112,0,1,1,1,41.2400582322564,41.2151735892522,40.9836354547092,40.5090682929925,40.693581961433,40.9555885867976,40.8577811667164,40.7625436673983,40.6449412937301,40.8555224234796,40.922459892712,41.2703224492868
420,41.0374893892135,40.3064427649993,40.3064400450052,40.3064365856195,0,1,1,1,41.1026275945783,41.1108430987977,40.8654483281585,40.5397248559188,40.7035062189461,40.8222728917273,40.7468131610019,40.637536605078,40.5517716080003,40.6113089266773,40.7945410978555,41.0734613978834
450,40.9494180517096,40.3064342114668,40.3064260493994,40.3064026467532,0,1,1,0,41.0002087008584,41.0935047703202,40.825535848399,40.5366660547447,40.7244830974966,40.7692558727017,40.8089133670862,40.7473615114505,40.8150251053597,40.4868699434088,40.7211194637429,40.9710125798968
480,40.8411442646606,40.3064344941509,40.3064306059718,40.3064249852257,0,1,1,0,40.9514509358025,41.0165036936715,40.7332125739191,40.510135706435,40.7482609476243,40.7567444250187,40.8335432859438,40.806815971412,40.8687589677769,40.4845343769568,40.702524598635,40.9069376935387
510,45.3940982543525,40.3064317082693,40.3064344865822,40.3064261939355,1,0,1,0,43.3931905692506,42.6277312699164,43.1476541242623,42.6340717098583,45.1136746061945,44.4905473810379,41.2654358620136,41.4591742401708,43.0814990257364,41.0131058423389,41.4602217527145,42.1882124436295
540,42.7391908754234,40.3064233282842,40.3064410336528,40.3065313440551,0,1,1,1,40.7225921651628,42.344502081304,43.1414416481216,41.4235386389652,42.961410067689,43.7432001502718,41.6800487341914,42.0293937465195,43.1393222031783,40.6113015509399,41.6656834616371,41.6762332322816
570,41.9119943566391,40.3063471608376,40.3064301844938,40.3063819884794,0,1,1,2,41.9397583597447,41.9357146229537,42.6777075540929,40.7818640961964,41.704950830607,42.9684033743378,41.5308746326006,41.4394490727445,42.2241549915853,40.7295276196968,41.5313878537377,41.9988898046715
600,41.251435313379,40.3063856691388,40.3064362929162,40.3061449785909,0,1,1,1,41.8716299859854,41.7614395450879,42.6910936988789,40.5294561933555,40.9982834283065,42.2656079703715,41.4795068148847,41.6961518854864,41.8460560478188,40.8645595478727,41.5518916418297,42.090686974374
630,41.2196964199097,40.3064617464316,40.3064363846341,40.3064822270464,0,1,1,1,41.7686469129011,41.5339736903109,42.2446480278187,40.6700165183966,40.7364973685182,41.8457790076916,41.408006647486,41.6405860011998,41.1100244947777,40.8329173772254,41.571591586743,41.9661268276619
660,41.3372570821647,40.3064484837095,40.3064402390179,40.3064242069769,0,1,1,1,41.4486385106588,41.2690678571102,41.7029445383735,40.6385615811071,40.7642952889709,41.3871988734866,41.1381282383834,41.0785417760423,40.8574199942761,40.7342110256063,41.5374050616342,41.7748077561608
690,41.1614206277005,40.3064379004111,40.3064435760567,40.3064392685042,0,1,1,1,41.1685501935381,41.1811710740671,41.3129977222994,40.4633005656609,40.6842977237958,41.0433629506299,40.8797119912751,40.7904678577332,40.781558909482,40.615149059566,41.4831569275387,41.5362069941661
720,41.0370467549743,40.3064422051918,40.3064457433506,40.3064302957971,0,1,1,1,40.9697527323868,41.1419353607075,41.0002318883475,40.4285590081219,40.5261248127354,40.7407092307398,40.7653037503572,40.8170909537816,40.8161291798595,40.5492928152081,41.3431193499089,41.294813428714
750,41.0053029419221,40.3064353355552,40.3064372043631,40.306415883542,0,1,1,1,40.9156091581847,41.0394843414451,40.8295974630019,40.5009536734834,40.5173216614206,40.6127130201174,40.7818841141391,40.9282274228064,40.7791658705246,40.480844000952,41.1354589590786,41.0983937772146
780,40.9751609338962,40.3064028344556,40.3064377186723,40.3063925341331,0,0,1,0,40.9037102849309,40.9442806643738,40.9088196177096,40.8441106338982,40.8167858993754,40.7953312492639,40.8246163675623,40.9603119543069,40.9444540134148,40.4410490964438,40.8314857706647,41.0498517800542
810,40.9410207028486,40.3064312212402,40.3064240574746,40.3064360082789,0,0,0,0,40.8913262618725,40.9274282584636,40.9379411943854,40.9040533819024,40.9090529675583,40.9006619952599,40.8736123568789,40.9267052897188,40.9238819828357,40.7829495440546,40.8953945116721,40.9990517566303
840,40.9282187482473,40.3064493788089,40.3064419325163,40.3064520749535,0,0,0,0,40.9058868716891,40.8942917401285,40.9432553637458,40.9172125471174,40.9202872540013,40.9254531481573,40.912877916824,40.9332252194882,40.9134510792722,40.8631085111247,40.912780673901,40.9819253772225
870,40.9296311022717,40.306435880499,40.3064362673127,40.3064345332324,0,0,0,0,40.9255848457917,40.8865269978505,40.9433441163189,40.9219062655786,40.9269621872557,40.9331458077694,40.935992367957,40.9409735676233,40.9209821327329,40.9099027989848,40.9146822791994,40.978593561315
900,40.9353250009013,40.3064350752808,40.3064383217047,40.3064355831693,0,0,0,0,40.9371198481164,40.8925309048162,40.9411341496018,40.9323362222173,40.9330229474496,40.9392403828148,40.9477599084071,40.9441327287246,40.9304340205223,40.9321351264096,40.917183267203,40.9772881458807
930,40.9394743178522,40.3064389782345,40.3064380031329,40.3064371394145,0,0,0,0,40.9435885846407,40.8885616324223,40.944404524332,40.9417766534336,40.9386548079747,40.9445041482437,40.9514997526273,40.9446138738367,40.9371665229142,40.9369302444897,40.9203115097165,40.9756699422512
960,50.475521081808,40.3064655660625,40.3064375363448,40.3064458243591,1,0,0,0,44.1766682921411,43.3375386600359,45.7651358247323,47.9898808486417,50.0620566116122,48.5878911752993,45.1349799861961,41.0023680278585,45.1414523672695,43.8063815330957,42.5130114746554,45.0147678268951
990,45.3692941846644,40.3064506202462,40.3064542504621,40.306562429977,0,2,1,2,40.4814729434673,40.8642603762196,40.9625140106794,41.7669269337414,46.6779725591962,47.4072908486261,43.3832294872854,41.3225432783659,46.1124554653029,43.2361351893069,43.7460426865882,43.8748929598727
1020,43.5992016260948,40.3062022401618,40.3065252783885,40.3062209294106,0,1,1,1,42.1217426137897,42.8658781394136,45.1764389550365,40.5403421210266,42.3709669771811,45.5899834315058,42.5740296809111,41.9889321469503,44.794529769141,41.6008311504089,43.6948330778036,43.2413700449342
1050,43.2535089119654,40.3065109104463,40.3064275153955,40.3065118683318,0,1,1,2,41.7232807787279,42.6879961942335,45.4291524095096,40.5862916042316,43.2458566135142,44.8048744008104,42.1591099736091,42.5631075906047,41.3954142012652,40.8482858273792,42.2406147159499,42.6312114383121
1080,41.9552944074495,40.3064958766263,40.3064708506954,40.3063777121595,0,1,1,3,41.5881358468208,42.1422082851456,43.8017949874786,40.6248770347768,41.2030828027115,42.5999593025025,41.9078850588375,41.461481460041,40.9179000925282,41.1858229380559,41.5959584179708,42.7724826986951
1110,41.4088668988976,40.3064312818247,40.3064531057411,40.3064183857323,0,1,1,2,41.6614115496464,41.7117743567601,42.6994526911249,40.5950169983771,40.8588387667839,41.6188571712766,41.1567611919566,40.9808227571169,40.9090188267491,41.2374142680905,41.3894711284147,42.3617250077328
1140,41.2657614427977,40.3064575041714,40.3064377402263,40.3064979550614,0,1,1,1,41.4139302129211,41.684875949617,41.536503138198,40.482474925665,40.6138732663315,41.0925097944092,41.2551164302284,41.0976167622788,40.9836044007484,40.8791308190115,41.2498152299397,42.1640638350419
