"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.6735336686309,40.3064598515225,40.3064385092481,40.3064396213144,0,3,2,2,48.256373728027,49.6921595144146,49.9495312647995,49.0420544624012,40.3403537518299,40.3108555406617,43.7041691883446,45.2956131785405,47.8514273021694,46.3228576011116,40.3024326515829,44.4954838793776,45.3667337912963,42.8966090531248,47.0197145445614,48.9368790886933,49.7284906160991,49.8964598431903,49.9688314677301,44.947431838663,44.3620337219921
90,45.6535164301538,40.3059880301441,40.3064845741044,40.3064697283455,0,3,2,2,47.6690083530032,47.7949946279474,43.8465457353743,41.4932235676528,43.9490235016817,40.3909553003485,41.5971734677505,41.859329776511,43.3086067533254,45.3883030155405,40.3164895773293,45.456107264145,47.3056602686974,40.5041033044933,40.8823289747813,42.0568458946416,44.3646217023192,45.9876668862165,49.5342623281198,45.3776308140771,44.1588103928648
120,42.2503429563176,40.3064296308663,40.306469753106,40.3065014233782,0,3,2,2,42.8977831383443,42.0458937344751,41.4374344971395,41.3454001461591,41.2036387753497,40.3103412074997,41.2493889463046,41.2818736217307,41.5722659546904,44.9952476597721,40.3160648042647,44.834066109003,46.226693184364,40.5797397029673,40.7854664518097,40.8590856794335,41.0471890416434,41.4447699554756,44.8826219088202,45.224955204131,43.3044924819458
150,42.0188420356308,40.3068314036601,40.3065071541876,40.3065376737799,0,3,2,2,41.8995447014304,41.9447011311017,42.0224865639774,41.8620308323209,40.5740014227023,40.3288723763214,41.0427825180113,41.2809191847319,41.5340812166904,43.3769620411691,40.3293411250613,42.9179021063219,43.1470237898261,40.9412976442346,41.0441398564312,41.0631704090262,41.0929330552563,41.105842279716,41.3063043228567,43.6857653316637,41.9247063891258
180,42.0661542637943,40.3062703649106,40.3065197931732,40.306478317457,0,0,2,2,41.222251289207,41.1531080324667,41.0507743129258,40.6873748800982,40.7229163082452,40.3174433672511,41.0401688976255,41.3305765603317,41.7101600743379,42.5377902414051,42.1749923454301,42.7657115373013,42.2231041344149,42.1183085738233,42.1206224492793,42.1426042528543,42.0668308066959,41.9924175103891,41.8608665155013,41.7601919570891,41.283049788276
210,41.6373457173975,40.3065375649037,40.3063997581358,40.3064305066035,0,1,0,2,41.0684749128435,41.00345626891,40.7850956918957,40.5217249380913,40.8360834598527,41.00472421228,41.7971492336477,41.5413670031014,41.9108421007153,42.3973595378613,40.3110933731783,42.397288393884,42.350379419306,41.6743066064279,41.7362021587215,41.8011930428895,41.8927930627447,41.9246492586098,41.9571248460816,41.0392522785126,41.1844530680228
240,41.1711419898748,40.3064205584666,40.3064540991771,40.3065587075646,0,1,0,2,40.7047369962037,40.6358289605332,40.602128242431,40.596388590382,40.7431532178586,41.4172283124251,41.5748871680957,41.6513133070387,41.8256622594993,42.0639503573349,40.3076779652148,42.1310866654718,42.1883726153109,40.9678956651063,41.3665082451067,41.3389199529844,41.356864714447,41.5206237937843,41.7853087621398,41.0288511725063,40.8402122658884
270,41.075654257417,40.3063729855144,40.3064542978076,40.3065543309365,0,1,0,2,40.5976880858653,40.5510367668602,40.5165813876991,40.5076682425239,40.5902425720286,41.0645237498477,41.4925337395463,41.493841850309,41.6389266246785,42.0334784019428,40.3135131468644,41.933641486353,42.048917423918,40.5206234261497,40.6902797753304,40.8360498845026,40.9300655404253,41.0303798657224,41.3031792925319,40.6816411056766,40.6330589378502
300,40.9839044695879,40.3064445908189,40.3064369204674,40.3065262185097,0,1,0,2,40.5213538154479,40.5188964876194,40.5276791027325,40.5274500446115,40.5285072385724,41.0730456492954,41.3198569625584,41.3196378021862,41.350820793327,41.9329235230508,40.3079686374596,41.7759914568414,41.9630087541223,40.5070075298704,40.5392890260942,40.5637700483731,40.6767896101877,40.7588127259725,41.0475608255687,40.5547449352157,40.5474048339716
330,40.8654241879083,40.3064439126815,40.3064191562773,40.3064987477301,0,1,0,2,40.5168751181883,40.5098856933429,40.5234318894383,40.4823667138415,40.4559267217018,40.6305659814505,41.0996472992465,41.1255967357729,41.0747260146872,41.6896719782139,40.3077606451362,41.5144763555692,41.5434720185702,40.4903313463656,40.5841651761918,40.5804892340866,40.6008491842705,40.6632700086167,40.8247984122096,40.5143981943975,40.5444556180857
360,40.7438208084376,40.3064271485846,40.3064258446096,40.3064775298767,0,1,0,2,40.4944274232748,40.4774505154631,40.4714444790653,40.4221403818765,40.4077983344525,40.5719751768958,40.8858708284276,40.9378547219327,40.8690752882427,41.4316846430144,40.3078323892306,41.1465083421688,40.9657461283979,40.428764633301,40.5521648177264,40.579559021132,40.6061377898734,40.6160475939438,40.6605545109888,40.4576848326716,40.5145817491776
390,40.6494113321904,40.3064552205195,40.3064396909191,40.3065196010912,0,1,0,2,40.4483813522996,40.4514479391859,40.4446547457205,40.4054045418095,40.3874012850824,40.4917820209276,40.7611912976438,40.8124372670012,40.7263606109819,41.1636093329086,40.3077218946441,40.8340633217681,40.7428488046474,40.3791956687509,40.4732019748742,40.5488448492928,40.583499284123,40.5805541627239,40.5977549469365,40.4286900812167,40.4533148123176
420,40.5840526408687,40.306441898175,40.3064356603738,40.3065028577475,0,1,0,2,40.4178331678582,40.4182168031049,40.4082830065529,40.3821598251114,40.3706911774687,40.4098164899378,40.7500731469888,40.7515070785955,40.6440903940923,40.8482829138998,40.307445521459,40.6205247239919,40.6366750693853,40.3430813203948,40.3692268978284,40.4872117597669,40.5405201069618,40.5231671246652,40.5429755897593,40.3894162243889,40.4222163973471
450,40.52340415934,40.3064435249503,40.3064353398876,40.3065005035524,0,1,0,2,40.3964667198578,40.391739536578,40.3736928507763,40.362985842391,40.3503055927677,40.3987068994204,40.671045929619,40.6534288816316,40.6003473820343,40.6244216964837,40.3075747925938,40.5237512404947,40.559138916407,40.3490964615767,40.3666222549979,40.4074962967604,40.4880789090226,40.4681198587615,40.4782445490906,40.3717151300255,40.4067058225151
480,40.4789108237894,40.3064893443056,40.3064380326398,40.3064555680048,0,2,0,1,40.4339941746186,40.4238514407309,40.4052207368546,40.3820289771263,40.3362721024167,40.4254430741277,40.5791023830755,40.5885350021367,40.6392721034726,40.5024485424243,40.3111038802761,40.4432361908492,40.4711506682528,40.3366336888468,40.3550957309035,40.365127977595,40.4117557003859,40.4129980760647,40.4028868070778,40.3922765067649,40.4404332576703
510,40.4428207830193,40.3063622467455,40.3064382269903,40.3064808618914,0,2,0,1,40.4388204548324,40.4415433445229,40.445013371086,40.4109309024701,40.3178524271908,40.4431751764361,40.562049415405,40.565223689788,40.5442350574912,40.4346167958115,40.3066915042493,40.3884862305315,40.384441561021,40.3529974887779,40.3777196522435,40.3927848135902,40.4087494741926,40.4010075475992,40.3716165165138,40.4013844157805,40.4613908693106
540,40.4285206258484,40.3065426067561,40.3064382718285,40.3064049757108,0,2,0,1,40.4318851800338,40.4021200041894,40.4148314381663,40.4120618324592,40.3130356369839,40.455226727436,40.539690092295,40.5164715138517,40.4850888382784,40.3828496380505,40.3100558887037,40.3599201881203,40.3883197726809,40.3435865143078,40.3674206631083,40.3890741520722,40.4032028359181,40.3987401437693,40.363129989436,40.4101195043342,40.4674963490597
570,40.4221695754258,40.3065214140336,40.306438081588,40.3064089574096,0,2,0,1,40.3915171224693,40.3763409191683,40.3734692735432,40.3954086676621,40.3118274018838,40.5042891315879,40.5000673627035,40.470244355545,40.4366813388973,40.3557879800195,40.3090570620212,40.3492308603242,40.3818746512376,40.3360799812136,40.348851176134,40.3610667217774,40.375642782893,40.3803198775938,40.3617152602958,40.409563745566,40.459920035406
600,40.4107924033157,40.3065231116254,40.3064374861645,40.3064053638062,0,2,0,1,40.3649573038338,40.360881632739,40.3555907550554,40.3742494725965,40.3113578704576,40.449136916454,40.4664478437642,40.4476769792916,40.4042416478163,40.3568233463562,40.308916446283,40.3548567429828,40.3710544662526,40.3270506196001,40.3316293444761,40.3416407829949,40.3519756972963,40.3590475841018,40.3554361258875,40.3973411124662,40.4245223490768
630,40.396670760477,40.3065314668423,40.3064373213515,40.3063967913012,0,2,0,1,40.3508832255066,40.350715807055,40.3494713267445,40.3576618451728,40.3114744433559,40.4317609628703,40.4437538597296,40.4383448869669,40.3914570061827,40.3558178440116,40.309010992307,40.3532534217882,40.3637244681811,40.3242205562097,40.3273026141545,40.3321643071216,40.335188107828,40.343505872703,40.3491191744666,40.3815676229425,40.3824597649144
