,0
0,459.55112
1,81.61006
2,161.01952
3,210.41388
4,206.49155
5,94.25226
6,30.789894
7,23.113247
8,59.03816
9,130.3369
10,103.43887
11,69.362526
12,20.064714
13,20.568756
14,11.022845
15,23.490187
16,6.670109
17,85.06087
18,43.44436
19,40.575745
20,17.916405
21,12.531342
22,3.518351
23,3.4825268
24,14.153853
25,7.263219
26,20.43738
27,14.291576
28,36.42071
29,14.554338
30,3.2889705
31,12.203894
32,17.148973
33,18.943186
34,20.677073
35,31.953001
36,20.230404
37,46.735588
38,53.902996
39,21.329123
40,12.96752
41,8.065325
42,13.172711
43,21.30462
44,16.166445
45,22.568512
46,11.871245
47,11.732172
48,24.000292
49,7.1711717
50,4.6350093
51,6.3946495
52,8.572124
53,14.193409
54,14.976661
55,3.3555377
56,8.622929
57,6.519656
58,4.16681
59,2.6803882
60,2.7593968
61,3.134959
62,16.055355
63,20.062069
64,17.741304
65,8.492351
66,11.250178
67,4.4566417
68,4.076559
69,4.6366825
70,8.714804
71,3.8157434
72,7.1004763
73,5.2939014
74,1.9483571
75,3.468775
76,5.796177
77,4.072449
78,3.113945
79,6.688211
80,6.2477846
81,2.3760061
82,3.7680721
83,3.3478274
84,5.317689
85,3.110304
86,4.7449923
87,2.6191816
88,4.211268
89,4.531296
90,4.788501
91,3.6765919
92,2.5474992
93,16.275343
94,14.640046
95,10.642665
96,13.835957
97,20.042137
98,14.489887
99,21.867884
100,19.318218
101,10.702337
102,11.772936
103,18.184746
104,68.31217
105,12.587346
106,32.198914
107,20.350813
108,13.243933
109,6.251272
110,8.096941
111,11.303299
112,11.625959
113,40.235573
114,39.313816
115,10.925019
116,6.077386
117,11.704241
118,15.986283
119,8.132433
120,14.174307
121,12.834944
122,20.994911
123,14.205029
124,13.204125
125,14.004634
126,29.694725
127,31.476929
128,5.1113863
129,8.95203
130,12.955938
131,9.680853
132,8.853526
133,12.810434
134,15.349633
135,7.608311
136,7.6578918
137,25.771816
138,25.61914
139,26.51854
140,28.567759
141,6.840374
142,6.399635
143,2.090987
144,14.928896
145,12.129283
146,14.670309
147,25.628553
148,11.235681
149,9.210028
150,11.650057
151,10.742872
152,8.943979
153,12.146966
154,12.759473
155,23.683002
156,30.44513
157,57.073334
158,119.042816
159,73.6606
160,39.705658
161,26.160637
162,82.59802
163,88.997284
164,71.9577
165,63.40976
166,38.72216
167,23.677946
168,74.457306
169,20.424452
170,27.88977
171,26.723919
172,19.254179
173,18.727276
174,28.5213
175,18.016142
176,26.158035
177,44.833645
178,17.809093
179,54.220486
180,42.123035
181,43.887787
182,17.472172
183,4.285613
184,16.391806
185,22.463057
186,44.514786
187,39.78416
188,120.81517
189,130.64716
190,43.249428
191,30.690186
192,20.610193
193,7.441967
194,34.3286
195,47.986397
196,37.560184
197,55.120823
198,24.01104
199,37.803898
200,12.600855
201,34.384296
202,30.313282
203,9.917202
204,18.8353
205,23.345478
206,42.787537
207,25.572544
208,9.970032
209,24.981403
210,8.115225
211,23.234571
212,21.075932
213,11.044069
214,28.94484
215,31.692234
216,9.542397
217,14.294033
218,24.527002
219,22.877495
220,8.30531
221,38.52494
222,32.554417
223,14.66306
224,16.987915
225,15.664827
226,14.1357155
227,10.718639
228,3.8475118
229,10.691676
230,11.922712
231,10.073251
232,25.50473
233,36.765247
234,21.846113
235,19.244873
236,39.56645
237,32.5494
238,16.003372
239,18.486103
240,3.370584
241,2.7285707
242,9.325703
243,6.005988
244,15.303097
245,12.508525
246,12.43998
247,12.260681
248,21.116955
249,8.883188
250,27.496853
251,14.214214
252,22.376118
253,37.032875
254,22.927097
255,38.205574
256,37.837902
257,9.525301
258,23.089731
259,31.011944
260,18.961994
261,10.979086
262,21.400627
263,3.7207735
264,18.476595
265,7.434001
266,15.016243
267,11.310827
268,18.80928
269,6.789324
270,10.551348
271,13.847085
272,12.959124
273,13.738266
274,8.773585
275,14.414808
276,6.878941
277,10.865402
278,14.019709
279,16.667345
280,17.818443
281,13.955371
282,17.382977
283,15.1139965
284,12.097218
285,10.527572
286,11.1988
287,6.5793686
288,11.12281
289,18.730694
290,13.803093
291,11.372438
292,6.6736994
293,7.899081
294,13.114155
295,8.519309
296,13.011276
297,4.717437
298,14.47711
299,21.325428
300,16.574316
301,58.481064
302,20.115396
303,35.29901
304,26.443188
305,21.225662
306,15.645414
307,14.816723
308,11.029815
309,2.0708194
310,4.8647194
311,18.502085
312,17.611141
313,41.244328
314,32.471153
315,24.382406
316,24.892836
317,6.608862
318,1.3736885
319,3.5422542
320,3.6784358
321,3.5900428
322,3.6761923
323,4.6637235
324,3.1459491
325,4.4013634
326,1.5237238
327,3.434287
328,2.4818692
329,2.7810588
330,3.003959
331,2.9821901
332,6.728157
333,11.604276
334,13.717583
335,16.364262
336,14.726934
337,17.217226
338,13.416079
339,8.661638
340,9.997808
341,25.145924
342,9.9459305
343,17.506071
344,7.98967
345,4.114566
346,10.782888
347,10.122563
348,10.27754
349,11.356022
350,6.5410104
351,6.7318125
