,CCS,low gear,middle gear,high gear,RH-rainbow
1 min,0.98,1.5,2.76,4.01,1.09
3 mins,2.04,4.51,8.27,12.01,2.49
5 mins,2.9,7.53,13.78,20.02,2.28
