"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
450,40.3222802292953,40.306613918805,40.3064322598949,40.3065249581328,0,3,0,3,40.3153444586889,40.3172138264007,40.3166436246459,40.3078788048103,40.3169569784342,40.320655421148,40.3152930649995,40.3342134670247,40.3373987744534
480,55.6018350070818,40.3066368688169,40.3064264696434,40.3065279117411,1,3,0,3,43.3163837254023,43.4023896645019,45.1898509212017,41.236258751705,52.244354026367,43.199580384557,44.2636586133455,42.5507470374246,43.5150074053779
510,45.8423897113223,40.3064869117042,40.3064247648052,40.3064052333794,0,3,0,3,43.2988766927959,43.3382642756311,44.2298065100847,41.1165525534799,42.6042049997499,42.8639656601388,43.1482395528985,43.1740264629226,45.1957011875221
540,42.5178951718491,40.3065701859499,40.3064294424399,40.3063526768172,0,3,0,3,42.4153620312086,42.5862758264478,42.8957959170646,40.7795763050783,41.4193195926978,41.9214047452783,41.7187318828324,43.024485090448,44.1136086869682
570,41.9651284610905,40.3065310220832,40.3064296404208,40.3064810372823,0,3,0,3,41.6169242312251,41.7092667192017,41.7093438023947,40.6191193239773,41.0580648801568,41.1751246983138,40.9853798926353,42.3688287325821,42.6982481421353
600,41.0899228741305,40.306513719802,40.3064276494493,40.3064998926622,0,3,0,3,41.0479203301468,41.1732445129123,41.0795447729879,40.5685102241132,40.6513696280675,40.8171318708959,40.7126967413229,41.6933573363562,41.7597125713209
630,40.8048465782526,40.3065438816404,40.3064314959129,40.3064929296668,0,3,0,3,40.7614079705265,40.869754162321,40.7380776520717,40.485677611749,40.5505408468937,40.6298854076426,40.5886162131174,41.2021602971922,41.1732882044306
660,40.6493066736035,40.3065135767121,40.3064282569888,40.3064330065995,0,3,0,3,40.6164962433417,40.6701943115487,40.5906964917647,40.4233166636856,40.4822401442007,40.550374112202,40.536630410928,40.9454649963899,40.8229020394037
690,40.5345061429875,40.3065221522181,40.3064254182366,40.3063730559249,0,3,0,3,40.5228075497397,40.5425597423082,40.4993339102734,40.3815880145103,40.4316602708209,40.4728207660435,40.4523140550257,40.7534935355301,40.6213343067745
720,40.4576055991529,40.3065374625571,40.3064345240251,40.3063686384521,0,3,0,3,40.4468888610393,40.4585623721605,40.4326179049367,40.3515085527733,40.3841683364948,40.4110950049202,40.3861145306842,40.611013111501,40.5061812552095
750,40.3963611304287,40.3065367877013,40.3064278250751,40.3063622757822,0,3,0,3,40.3941025631752,40.4004177369078,40.3831857551415,40.3321343715524,40.3522016255009,40.3696991342716,40.3518162217175,40.5057324050802,40.4336191708598
780,40.3567381432843,40.3065401986289,40.3064298524462,40.3063699562779,0,3,0,3,40.3596383927485,40.3628579711056,40.3505819905571,40.32116853454,40.3337756209576,40.344369060711,40.3354523512446,40.4240200165931,40.3849443894224
810,40.3331402790438,40.3065730154093,40.3064297186911,40.3063723559544,0,3,0,3,40.3371470179746,40.3398077060303,40.3306460837454,40.3132593869518,40.3204388867281,40.330177602344,40.3270950430597,40.3746612830956,40.3517147512233
840,40.3201285245845,40.3065953836624,40.3064265495474,40.3063588144494,0,3,0,3,40.3224302770605,40.324192663921,40.3183393548054,40.3080418958086,40.3119526671026,40.3203849491332,40.3192543526831,40.3437132902103,40.3303031580398
870,40.3113279194336,40.3065989110172,40.3064288668274,40.3063554055071,0,3,0,3,40.3128591654725,40.3141458723876,40.3106452625483,40.3053386609471,40.3075248208475,40.3125024842594,40.3121487011053,40.3255403890036,40.3171494475265
900,40.3057505844607,40.3066032384165,40.3064305072476,40.3063541055181,0,3,0,3,40.3066536951617,40.3076509178613,40.3056185856926,40.3034106648401,40.3044863425399,40.3068674063524,40.3069015336607,40.3148906523979,40.3090869473409
930,40.3022228474403,40.306605654733,40.3064308819039,40.3063452172604,0,3,0,3,40.3028090615286,40.3034456308883,40.3022727187644,40.3022860840398,40.3022790183148,40.3031285607618,40.3032113740013,40.3084761012442,40.3040499236088
960,40.3000051993305,40.3065973202162,40.3064315477834,40.3063314351174,0,3,0,3,40.3004539680539,40.3007925717853,40.3000691408668,40.3016859902126,40.3008697749495,40.3007078899512,40.3006734825709,40.3043578193373,40.3009052492131
990,40.2985610024027,40.3065887388711,40.3064318877373,40.3063167335807,0,3,0,3,40.2990077978236,40.2991987293389,40.2986378696763,40.3012117808882,40.300017186962,40.2991156753531,40.2989219104765,40.3016853113561,40.2989824561147
1020,40.2975768648905,40.3065862098766,40.3064317731631,40.306309317365,0,3,0,3,40.2981265912394,40.298231823124,40.2977671982329,40.3008606887327,40.2995199606677,40.2980912575576,40.2977685634155,40.2999029562754,40.2978045160644
1050,40.29693229243,40.306585032473,40.3064320214379,40.3063045319875,0,3,0,3,40.2975184943315,40.2976183882356,40.2972490790123,40.3006178958033,40.2992588052774,40.2974420077433,40.2970427041778,40.2986721450095,40.2970735436249
1080,40.2965355084692,40.3065883575984,40.3064325246837,40.3063050961651,0,3,0,3,40.297109155821,40.2971924382694,40.2969267918485,40.3004230253819,40.2990767424145,40.2970202479818,40.2965778247014,40.2977970508564,40.2966089935821
1110,40.2962693221809,40.3065932952758,40.3064322319983,40.3063040365883,0,3,0,3,40.2968370334798,40.2968925984229,40.2967212565748,40.3001990551039,40.2988209728973,40.2967326825196,40.29626363554,40.2972090261374,40.2963008408324
1140,40.2960799856001,40.3065979211939,40.306432031698,40.3063014746954,0,3,0,3,40.2966786609155,40.2967051533655,40.2965923467412,40.2999668202168,40.2986257700724,40.296522065154,40.296028512791,40.2968417063493,40.2960886468226
1170,40.2959445422602,40.3065959635792,40.3064313072984,40.3062965578594,0,3,0,3,40.2965793491893,40.2965938918745,40.2965425574274,40.2998194593919,40.2985061510844,40.2963657914948,40.2958444376655,40.2966128034516,40.2959470425358
1200,40.2958371698622,40.3065899680328,40.3064308317638,40.3062907775143,0,3,0,3,40.2965157413572,40.2965220494399,40.2965090807647,40.2998451137247,40.2985067538338,40.2962542016096,40.2956973023924,40.2964403692641,40.2958592704697
1230,40.2957785391281,40.3065850417523,40.3064309117312,40.3062856696851,0,3,0,3,40.2964622061563,40.2964670299826,40.2964813604234,40.2998924297133,40.2984636921179,40.2961786941289,40.2955817762821,40.2962613462782,40.2958065751448
1260,40.2957514329711,40.3065848169174,40.3064314332451,40.3062871262019,0,3,0,3,40.2963963173164,40.2964148360282,40.2964291060995,40.2999298923064,40.2984604635957,40.2961297832233,40.2955041554975,40.2961063400748,40.2957675236766
1290,40.2957133008157,40.3065866465501,40.3064317750622,40.3062962138808,0,3,0,3,40.2963277706553,40.2963663476879,40.2963626585666,40.2999268411225,40.2984293277434,40.2961008504667,40.2954859468207,40.2960167588664,40.2957355747868
1320,40.2956668129267,40.3065887575725,40.3064312661827,40.3063091350047,0,3,0,3,40.2962698203182,40.2963084818918,40.2962854732832,40.2998787352313,40.2983660435038,40.2960670801203,40.2954958819117,40.295973962056,40.2957004235566
1350,40.2956254417382,40.3065868110417,40.3064293912782,40.3063220756429,0,3,0,3,40.296230626715,40.2962560785144,40.2962114636468,40.2998110223787,40.2983161494256,40.2960333523991,40.2955107955403,40.29592869369,40.2956479896127
1380,40.2955992758972,40.3065826575027,40.306428065677,40.3063285954495,0,3,0,3,40.2962294209213,40.2962329923099,40.2961671140108,40.2997632143027,40.298261320428,40.2960051214658,40.2954970375319,40.2958532040037,40.295590736561
1410,40.2955913461995,40.306578629856,40.3064279866171,40.3063322637773,0,3,0,3,40.2962495482215,40.2962274927696,40.2961560355413,40.2997538418762,40.2982328872493,40.295992731654,40.295474132274,40.2957757036149,40.2955462099459
1440,40.2955830401892,40.3065763286625,40.3064290929706,40.30633426176,0,3,0,3,40.2962710062075,40.2962257839174,40.2961711605401,40.2997659342279,40.2982388328761,40.2959938709922,40.2954604954395,40.2957188158343,40.295526464233
1470,40.2955750750177,40.3065726998819,40.3064296614457,40.3063321893886,0,3,0,3,40.296284521574,40.2962415966792,40.2961936754719,40.2997804170765,40.2982708912703,40.2960075638522,40.2954676235463,40.2956913632196,40.2955386891066
1500,40.2955837098116,40.3065699068447,40.3064301967932,40.3063292493458,0,3,0,3,40.2962895323486,40.2962621651473,40.2961977706358,40.2997800737554,40.2982868851339,40.2960239907788,40.2954815909715,40.2956828373094,40.295567525501
1530,40.2956076146524,40.3065684345519,40.3064305958375,40.3063259389744,0,3,0,3,40.2962844223759,40.2962710076486,40.2961858648546,40.2997365480259,40.2982384235642,40.2960357373024,40.295497886978,40.2956790699686,40.295592364153
