"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,47.5933292259553,50.2920801360712,48.8434288522784,50.4665364432621,44.482376687188,45.2777942727206
90,46.169210203709,40.3063212568036,40.306351756425,40.3062984065361,0,3,3,3,42.5519973265027,46.7382920954905,47.8918271478219,40.9384520729979,44.531515781721,48.4528358094669,42.9565364310557,41.5574546245398,44.6576350265063
120,44.7503658524617,40.3063510872372,40.3064119058217,40.3063464090989,0,0,0,3,42.5429439840698,44.6272283155822,42.9254638638841,44.1560117286034,46.394562935841,44.177710430696,41.4009706065371,44.1543285536216,44.4222277616992
150,43.0034753711778,40.3064094064925,40.3064811435207,40.3067398529237,0,1,1,2,40.4591026953074,43.3071661550662,43.3248638124828,42.7845333195002,43.8826989157321,42.5962599717568,42.4110615922058,43.2049626249957,44.2405598213462
180,42.6110872237453,40.3064858385886,40.3065101735031,40.3067508166803,0,0,0,3,41.9736832727984,42.4137774707014,43.1277694447619,42.6241288596314,42.76049435267,41.7714099071907,41.5825664994066,42.5999489467437,44.0258640845247
210,42.2419425066918,40.3064401334974,40.3064312522424,40.3062422585006,0,0,0,3,41.9591249465531,41.78984283797,43.1463307825887,42.4323711548296,42.4569797883417,41.4797136552608,41.4593949544359,42.3495588754442,43.0872675378605
240,42.0114541473252,40.3063079532097,40.3063615615346,40.3067527673305,0,0,0,3,41.6446328327365,41.7931532592093,42.8792374156363,42.0735966079716,42.2092022994804,41.2671394172262,40.8647775456636,41.948043149588,42.4282919792425
270,41.7683636961254,40.3064038542302,40.3064214503695,40.3067192819621,0,0,0,3,41.5977435360107,41.6293336272574,42.5144363766338,41.9346437948684,41.9743643281243,41.087541277897,40.8875833420324,41.82779616169,41.9691496194798
300,41.6416965156607,40.3064473873793,40.3064314021408,40.3067075710574,0,0,0,3,41.7657226546848,41.4792231276933,42.1885386406861,41.8105890157847,41.8414908112781,40.885051789046,40.8353425014421,41.690636884936,41.7109737872014
330,41.5377649929292,40.3064414011257,40.3064175076785,40.3067328084934,0,0,0,3,41.6700484421762,41.2783970966007,41.8923407867212,41.7313252150065,41.6951774561308,40.9731752260158,40.7197559086563,41.4427389254553,41.4695120552357
360,41.3611183249767,40.3064543724171,40.3064423561083,40.3067285757854,0,0,0,3,41.4631053731345,41.1396850096192,41.6386341244085,41.5907411568224,41.5430071252075,40.9048072369946,40.6970963217931,41.2672688932729,41.2715711916515
390,41.1952092667181,40.3064628544349,40.3064427735576,40.3067647452699,0,0,0,3,41.2664815829146,40.9018636460707,41.4487057843401,41.4194772456256,41.4069233259684,40.8949905716401,40.7164636850346,41.0651130321129,41.1424053322139
420,41.0363213577452,40.3064466451923,40.3064375268322,40.3067494244273,0,0,0,3,40.9504125286317,40.9201319441305,41.3383932298668,41.2612231693446,41.2814179645234,40.8898578614229,40.6940459770521,40.9448424137068,40.970762181622
450,40.9296977765404,40.3064339053257,40.3064502030825,40.3067329581748,0,0,0,3,40.8606035513947,40.7832724522266,41.2116770342677,41.1210015897942,41.1609782713319,40.8356695199897,40.6215209978439,40.7941105850977,40.8631011161145
480,55.6016784195764,40.3065121894742,40.3064460000898,40.3067655534955,1,0,0,3,44.5930449232869,43.4302770947909,48.7218092093837,51.7097847472303,54.5092043522487,44.6220279745664,45.5296804624171,43.0356593385047,43.2368938954089
510,44.5064517271025,40.3063120258626,40.3066013796418,40.3062038488865,0,3,3,3,41.6387488620492,42.3583021517641,47.9730803087222,42.3781495229619,46.2291964339038,44.473085055796,43.9624426408294,41.4937858153829,46.6516837641991
540,43.1479678929868,40.306655277585,40.3067036885152,40.3072181088007,0,2,1,0,43.2713524409053,43.2242415060092,45.027283066399,41.4290029988261,43.1698057048741,44.9382025754409,44.9124225038406,42.3395738303481,45.4528416247817
570,42.9556944252827,40.3063732866911,40.3063479696308,40.3064458079995,0,0,0,3,42.880367505877,43.9261756374787,40.3851128689284,42.7049303732983,43.3161520746888,44.0153232921474,43.2845418932937,43.2895203615654,44.3501956524562
600,42.8330610557464,40.3064247065206,40.3064450221218,40.3058866060255,0,0,0,3,42.8847931849474,42.5769578469779,43.1597572340404,42.74136576922,43.043451132204,41.9910691875666,41.8014195956519,42.957242404059,43.7588297426702
630,42.5732814918717,40.3065378389159,40.3065685762875,40.3062573269483,0,0,0,3,42.0926671275552,41.907214309453,43.1822354182475,42.3834878704822,42.7493519427441,41.1296682540385,40.8911389686633,42.4007571284099,43.3732010701506
660,41.9413474977921,40.3064250849817,40.3063283169318,40.3067049183529,0,0,0,3,41.2649587412922,41.366872763026,42.7478858254382,41.6400820060159,42.1051142836944,40.8652333099608,40.8413735126425,41.8314848231353,42.6888788610363
690,41.5241069795407,40.3064144616219,40.3064044663233,40.3064900010149,0,0,0,3,41.2621772523891,41.1741379132592,42.0889191555517,41.5836604026632,41.6166636351931,40.9378128555632,40.8024282447729,41.6072772306961,42.0777299032385
720,41.38488451949,40.3064581507618,40.3064399165213,40.3066484213861,0,0,0,3,41.3905875828326,41.2101039246605,41.7204100993365,41.416967937336,41.430063390124,41.1226703046847,40.8201135368812,41.3360054394052,41.8021423062111
750,41.2324765952119,40.3064592702565,40.3064380581346,40.3067542825816,0,0,0,3,41.2827003632655,41.135273831622,41.486349021724,41.2406760810917,41.2840534443658,40.9271808614844,40.6820254148708,41.2596589018956,41.5481221428642
