,CCS,CCS_M,low setting,medium setting,high setting,DQN,PID,PID_M,RH-rainbow
FV,1.2640051914655912,1.126614563992839,0.7104878025580216,0.6300633496929318,0.5870539796216058,1.0033619653202304,1.0613272712909423,1.130685282353209,0.738448784859456
EC,1.983333333333333,2.025,7.525000000000001,13.775,20.024999999999995,2.441666666666667,2.2333333333333334,2.2750000000000004,2.358333333333333
UF,0.36414775119661813,0.0654800826203384,0.19576099700469168,0.1077699361293633,0.06451457964664051,0.058881722613944094,0.07692011819589768,0.06462938658085342,0.05842140885143634
R,-5.883578917150715,-5.2764322046344425,-4.870528444844431,-6.175285073618193,-7.648409574963891,-4.832906621718815,-5.0381949430314625,-5.361417103922775,-3.6185750874231077
