"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629989,49.9690826629986,49.9690826629984,49.9690826629982,49.9690826629964,49.9690826629962
60,49.7277061865212,40.3064525485399,40.3064389186224,40.3064407293744,0,3,3,3,40.6694911345647,40.667407670446,40.6733663673511,47.2305422500187,49.7937972479679,48.4260155120688,49.9607508280718,44.2796208160703,45.0286585231011
90,48.541773475138,40.3064515633546,40.3064286344796,40.3063063023801,0,1,2,3,41.4234426357481,46.6357652132564,45.2270218764575,43.2806793262794,48.7176826622287,48.0415120542014,42.8843778759205,42.1298322140751,44.1933121484089
120,45.265772599664,40.3065003783817,40.3064887209566,40.3063113016464,0,1,2,3,42.4613627974007,44.9507491134869,45.4639637997793,41.2465467851743,43.676513801997,42.989466880895,41.9966774453775,41.5553852216441,44.4838488018335
150,42.8820112621436,40.3064692489039,40.3065678251273,40.3067772377373,0,3,3,3,43.2355008604227,43.0598082186575,44.9528758884016,40.5386141585841,40.7406817210438,41.3386688429114,41.1537524268042,41.1629477925876,42.2051576093112
180,42.2058752270263,40.3061707743834,40.3063631592228,40.3066686638096,0,1,2,3,41.4804089656509,41.7651535150971,42.0823377944313,40.7755186939505,40.7954424232122,41.4180223827741,41.3637466464065,41.1837176456723,41.9473750151978
210,41.7623624010441,40.3064529000939,40.3064581196593,40.3063701075336,0,1,2,3,41.280113610518,41.7262942916029,41.6504972065536,40.5900356485476,40.8064066540604,40.9574949059953,40.8261113384283,40.9104041434758,41.9130502842366
240,41.4323823729071,40.3064406109656,40.306546188463,40.3068123625028,0,1,2,3,41.1109021232176,41.467663324619,41.3787320664141,40.6381882635696,40.6748231249052,40.643919537417,40.5479461576438,40.734976877499,41.5921909656953
270,41.400623520436,40.3064148524716,40.306586252219,40.3064288018177,0,0,3,0,41.2737944099558,41.4669543090965,41.3152609800857,41.2053646605171,40.903138725575,40.9749646769699,41.0219856356025,40.5612795083612,40.9608094461232
300,41.2603526262547,40.3066117755095,40.3064795295524,40.3066408417948,0,0,3,0,41.2605438447409,41.1791986971202,40.8712957470337,41.2032692856157,41.060644641423,41.0156724948352,40.974685055434,40.5871646736967,40.6847409613702
330,41.0767417193127,40.3063075176468,40.3064847264975,40.3063485134553,0,0,3,0,41.214493220879,41.1282467859441,40.7487794190819,41.0484216118715,40.9516501589712,40.9306649138912,40.8403976307671,40.5724700902641,40.6462916732655
360,40.8890476910485,40.306344424384,40.3064259497317,40.3063390979605,0,0,3,0,41.0966604133054,41.0569332032955,40.7410509376043,40.8881898595854,40.814980184023,40.7775520515351,40.7532266572834,40.5276368965556,40.607938143079
390,40.7699165049017,40.3063499924684,40.3065059919876,40.3063104627303,0,0,3,0,40.9833108627295,40.9112480625353,40.681739714728,40.7975627777934,40.7413530123192,40.6895665439877,40.67560247866,40.4576282546895,40.5479167685234
420,40.6962224891832,40.3062523546504,40.3064447203283,40.3062298454878,0,0,3,0,40.8752420635204,40.7881036480423,40.6407056568853,40.7271263679491,40.6751862155484,40.6181437861836,40.5992826707627,40.4266340214418,40.4755588467571
450,40.6328006008291,40.3063011121477,40.3065143396273,40.3062936382417,0,0,3,0,40.7574776108148,40.6912052398299,40.5861399529011,40.6568540692416,40.5911134295158,40.5822870288827,40.5577779094541,40.4029122851967,40.4375203287071
480,40.5718569871039,40.3063302146356,40.3065233258994,40.3063169188067,0,0,3,0,40.6736521407894,40.6354100633465,40.4634712566753,40.5947127279269,40.5312437257074,40.5570277146067,40.53141366254,40.3957896772782,40.4176615925193
510,40.5264786125278,40.3062993235939,40.3065183234945,40.3062750668578,0,0,3,0,40.6233815058084,40.5873315652269,40.4319313874582,40.5384927706779,40.5057411490201,40.5200246131943,40.4691671991286,40.3901077127473,40.4202138333915
540,40.4870949901721,40.3062806991368,40.3065183942711,40.3062471761742,0,0,3,0,40.5682790254826,40.5477301771043,40.419401067676,40.4955119387087,40.4714819247567,40.4767307030355,40.4278400558324,40.3796414978405,40.4138286268215
570,40.4264530213922,40.3064165786616,40.306384700337,40.3067958582803,0,0,0,3,40.5114068237224,40.4938893030612,40.3209120366058,40.4500738876023,40.4017290233806,40.4522433632295,40.439818495953,40.4558468651631,40.4486074318105
600,40.3792139695745,40.306507204098,40.3064490364942,40.3054261975269,0,0,0,3,40.4476084944394,40.4231532153704,40.3877257264647,40.3958197685067,40.361645254999,40.436678175755,40.4340306704109,40.4491480969167,40.4488262318835
630,40.3704647860075,40.3061747220138,40.3063584422021,40.3058714512339,0,2,1,0,40.3055380175196,40.3390370845315,40.3865312657941,40.3770896445371,40.356976136954,40.411284992125,40.3858801496674,40.3997041572152,40.433843851322
