"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629989,49.9690826629986,49.9690826629984,49.9690826629982,49.9690826629964,49.9690826629962
60,49.9690691240149,40.3064544939847,40.3064376534858,40.3064721230257,0,1,0,3,41.4013781980033,48.5805472399625,40.6715605938256,49.9690895965065,49.9575768422863,49.924222255984,48.1952468580334,49.5298988231118,45.1957781103881
90,48.9484456813449,40.3063083661927,40.3064493089822,40.305462816835,0,1,2,3,43.3379367746837,40.7907473190038,45.8452595313183,44.7518587322263,48.9295918090904,45.975563113762,41.4595728913522,45.5689513748986,44.2207156376755
120,45.2595895345186,40.3068474573398,40.3064988043136,40.3067986825984,0,1,0,3,45.1922601570007,43.1191733863371,45.2553453517863,41.3638143741402,43.2162464518153,42.6230030331484,42.6204660707283,45.3197647354799,45.5532081134514
150,44.0388260131179,40.306299535308,40.3064007531879,40.3067783830471,0,0,0,3,43.9676963494293,43.1973761376726,45.8752599122943,42.8188481335597,42.7499466938083,42.4376450569093,42.0925168939314,43.2084102245017,45.3603136572991
180,43.294441191914,40.3064068531835,40.3065299532357,40.3060772110642,0,1,1,0,40.6934679635984,42.9230035165702,44.3785454140764,42.0396734072982,42.4955704697607,43.8620533346984,44.2560179619335,41.7037694233819,44.8607454613846
210,42.2401039487354,40.3065149349648,40.306457437601,40.3067757667804,0,1,0,3,43.2561336768407,43.6377535417233,40.3625212218946,41.8612655615791,42.3094933329524,43.5304074039735,42.9857986137363,43.3320094834458,43.2741822601452
240,41.9026919426195,40.3063813177695,40.3064261494861,40.3055354953471,0,1,0,3,42.5867052349506,43.0900038415746,41.6166625231078,40.7788670690696,41.3215729828972,41.9501541627892,42.3515547457155,43.0307440173119,42.4560087639974
270,41.8972617376949,40.3064649902888,40.3064229100607,40.305864213456,0,1,0,3,41.7141836001186,42.2597970612398,42.0160959876984,40.6791852886297,40.8775674884092,41.1082490224615,40.6609332996972,42.5845947032284,41.9043001521822
300,41.7640691841932,40.3064513047875,40.3064365448987,40.306671401082,0,1,0,3,40.953619230249,41.2965259455141,41.4206283003733,40.529020162877,40.651441146096,40.5943368134993,40.5235428929777,42.0709304122679,41.9745888170847
330,41.1812334918254,40.3064419988414,40.3064417231283,40.3065956787788,0,1,0,3,40.6911116513416,40.9201698948182,40.9141019973041,40.4583169094704,40.5665838141208,40.5827372210179,40.5950534368726,41.4183574831123,41.7423172996739
360,40.9257811105897,40.3064574732349,40.3064314401401,40.3064479379117,0,1,0,3,40.8224721268215,40.7998217953681,40.8073027149874,40.6038505433375,40.6385816205759,40.6588958814667,40.6318291123515,40.9306684723139,41.4244618738732
390,40.7773812765846,40.3064529477957,40.3064335088421,40.3065980480882,0,1,0,3,40.7659582937696,40.7111226171669,40.726447162168,40.6615001230498,40.7145532894732,40.6196925560129,40.5266664951841,40.7590253631046,41.1912720796395
420,40.6504845387867,40.3064415002841,40.3064373301648,40.3066253064534,0,1,0,3,40.6026391447862,40.600525401913,40.6399797188782,40.6060453494216,40.6432745103536,40.4773830265866,40.4051148422848,40.6580626912851,40.9685949067827
450,40.5445526196098,40.3064400417503,40.3064399471315,40.3065671788444,0,1,0,3,40.472375856274,40.5342043699456,40.5520073420826,40.5112058587543,40.5412269422559,40.4138148640819,40.3891606888238,40.5708749977497,40.7932508209872
480,40.4876050477436,40.306460707025,40.3064421298997,40.306543532241,0,1,0,3,40.4352960134153,40.4822272798806,40.4923610459005,40.4720184755016,40.4782986423581,40.4085843187632,40.4017518778875,40.4883639408583,40.6640770526215
510,40.4532188193367,40.3064724467049,40.3064431175521,40.3065400661061,0,1,0,3,40.4252478841457,40.4377121717571,40.4536297647493,40.4474413854006,40.451470802887,40.3844243775887,40.3700910848894,40.4358418803294,40.5516011608832
540,40.4239649915464,40.3064629730187,40.3064485034602,40.3065652069064,0,1,0,3,40.4037474378695,40.4023866583215,40.424362808464,40.4136867200869,40.4269662224953,40.3685251260858,40.3443177876261,40.4108693555563,40.522866379706
570,40.3945409688868,40.306441784153,40.3064411897565,40.3065942253493,0,1,0,3,40.3794148717759,40.36803149645,40.3989736847781,40.3880505770505,40.3999768592739,40.3576262383908,40.3415621614514,40.3862952030461,40.4821835230446
600,40.3725109983741,40.3064450344185,40.3064437178735,40.306621838294,0,1,0,3,40.3592969330234,40.3437935338415,40.3768873479125,40.3718121105446,40.3772509299846,40.3458083052004,40.3383263799232,40.3624006883285,40.4559599833239
630,40.3581324495775,40.3064481375539,40.3064424324792,40.3066220809564,0,1,0,3,40.3459740036236,40.339619275067,40.3593386400139,40.3599690706571,40.3656785759573,40.338901317437,40.3295839288082,40.3502575090244,40.4390341327012
