"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629989,49.9690826629986,49.9690826629984,49.9690826629982,49.9690826629964,49.9690826629962
60,49.9690691240149,40.3064544939847,40.3064376534858,40.3064721230257,0,1,0,3,41.4013781980033,48.5805472399625,40.6715605938256,49.9690895965065,49.9575768422863,49.924222255984,48.1952468580334,49.5298988231118,45.1957781103881
90,49.1755402194862,40.3063323684843,40.3064375251669,40.30549107359,0,1,0,3,43.3878631972858,48.0517323176535,45.4732785555637,45.0971692198825,49.2628895798158,45.5227319915199,41.4092044863389,48.3131210716272,44.2806116248078
120,45.4799301236126,40.3064338594236,40.3064373977649,40.3063826169315,0,1,0,3,44.9634761889934,45.5985955723592,45.7204362604198,41.3472927164755,43.481698582374,42.4982772452672,42.4600985887278,45.1781195522012,45.2289349741804
150,43.6784299576276,40.3065006929273,40.306436149578,40.3069297082377,0,1,0,3,43.3886082643186,43.0285177252928,44.7020372115851,40.9778972332164,41.276449813055,42.0436854834399,41.7744219089169,43.8404127870999,45.3662555746853
180,42.9653547088147,40.3064179427502,40.3064349266458,40.3063446756945,0,1,0,3,42.362001008653,42.1682271376473,42.6274220502368,40.9040177203071,41.0296285214716,42.3735368977504,42.0974008200613,42.7791958808247,44.5233609132188
210,42.400461227915,40.3063723963944,40.306436426974,40.3065447083495,0,1,0,3,42.2066389795885,41.9694073097647,42.2713420676385,41.4494758436996,41.5844432271096,42.1523239375592,41.3294168243331,42.3772722516938,43.4886831689751
240,41.9182048745867,40.306387675683,40.306420644333,40.3067514010272,0,1,0,3,41.7975944937289,41.7007718648479,42.0247099045288,41.7617812399141,41.6970232836654,41.6426919038256,40.7727927353435,42.2597674116753,42.6673268806315
270,41.6063578115488,40.306433162765,40.3064342755559,40.3065686205296,0,1,0,3,41.3486938310592,41.5131170959845,41.6021314105217,41.5492191846419,41.5642463037275,40.7528009595807,40.6898846705585,41.9731469748109,41.983764873238
300,41.3653554938506,40.3064435987843,40.3064308102471,40.3066322838222,0,1,0,3,41.1541671921757,41.310138406897,41.3929122422855,41.2171011013453,41.3153142113321,40.7697165063912,40.6578335662199,41.7333514053798,41.5485576203206
330,41.1551825057051,40.3064431036041,40.3064429138662,40.306660327293,0,1,0,3,40.8152564542009,41.0941532354389,41.1697302954727,40.9650115043193,41.042813515148,40.6561906119718,40.5815741229016,41.3120761816231,41.2129523292705
360,40.8730901340418,40.3064770212543,40.3064585645513,40.3066964759497,0,1,0,3,40.8159744008192,40.8872857298629,40.9558449128144,40.7005501081512,40.8073507038516,40.5641243692995,40.5111269445666,40.9884076804049,41.0183009078965
390,40.78663553974,40.3059431678086,40.3064649293474,40.3060295348876,0,0,3,0,40.7861272801027,40.5511976772242,40.8664347092638,40.7382572077101,40.7873680149057,40.8237185438591,40.8231497497602,40.5926872120644,40.7420569347454
420,40.7826792990953,40.3071772466142,40.3063780763706,40.3072281951551,0,0,3,0,40.7725527863615,40.7656403409761,40.7156942953387,40.7783531013068,40.8339042929405,40.8001844409618,40.7254153118906,40.439528687108,40.5446469880189
450,40.7867547667305,40.306608125126,40.3067679821994,40.3066682805071,0,0,3,0,40.7799977641676,40.7759848140885,40.6020893133202,40.7854093618161,40.7754208296071,40.7283034127358,40.6153315604099,40.4306064887775,40.5032917905719
480,40.7259426860447,40.3065270149458,40.3066796429065,40.3066049412615,0,0,3,0,40.7570934108079,40.7084126817341,40.5327288174356,40.7040632341571,40.603774847056,40.6118486067755,40.5325727407469,40.4174804570682,40.4385611286608
510,40.6165286200325,40.3063986407954,40.3063413003034,40.3064003531235,0,0,3,0,40.7054951376831,40.6525105113344,40.4970011181678,40.5878121099243,40.5281159301511,40.5572785264506,40.5281020645807,40.4111491670521,40.4431732256853
540,40.5318045483246,40.3065072815503,40.3065902438436,40.3064994743724,0,0,3,0,40.6258164922993,40.5920815554677,40.4818807728429,40.5260381701165,40.5153687932645,40.5353675737908,40.5254832988248,40.4086713050023,40.4584757582125
570,40.4830962631819,40.3063671362712,40.3065843561272,40.3063445617712,0,0,3,0,40.5550534899142,40.5442499717705,40.4592223809906,40.4921965859103,40.4888801163117,40.50841009709,40.4994221706691,40.3741837874422,40.4472225837066
600,40.4603622180714,40.3063550709014,40.3065404346894,40.306321600815,0,0,3,0,40.5016392582675,40.5009214730325,40.4379687747402,40.4683182742438,40.4579845281542,40.4813839066527,40.4656957388417,40.3621823523346,40.4148805294503
630,40.4431187785426,40.3063948840995,40.3065502347814,40.3063534230365,0,0,3,0,40.4696087975569,40.4662676639837,40.4231969971769,40.4464065498085,40.4364808929806,40.4501269546249,40.4263476023835,40.3598503224905,40.3894003868302
