"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629989,49.9690826629986,49.9690826629984,49.9690826629982,49.9690826629964,49.9690826629962
60,49.6718113492941,40.306459829076,40.3064384893564,40.3064396134021,0,3,2,2,40.6693729527644,40.8491615500702,40.8661624420526,47.0241979217602,49.7295535955552,48.2547398352722,49.949117963705,45.3005424016356,46.3287648877218
90,49.3224726973814,40.3059873346929,40.3064603209472,40.3064900928562,0,1,1,0,42.3538777804382,45.1762806704259,46.3896094234715,42.7931044542908,49.172814185165,45.6383662854264,49.8881794081743,41.9211575033211,46.3957719606115
120,49.1472444715794,40.3064482288726,40.3064107788123,40.3064426437425,0,1,1,0,42.2213494846784,44.2778357541408,47.9017231456137,43.3519513367747,49.2566844001333,43.8433838225133,48.4992839962245,41.1197211791446,46.6456282465743
150,47.5792764745154,40.3064997356003,40.3064816723911,40.3065468791422,0,1,1,0,41.7934001193623,43.7748066301373,47.8568055860002,40.9692745647661,47.1975908398131,45.4710121045047,48.9527424959795,41.245154823598,45.3109124730392
180,44.116515812173,40.3063903236556,40.3064319079922,40.3064173897183,0,1,1,0,42.295592334669,44.602537299017,47.8695338247594,40.7957412211778,42.6633990571232,47.3921708199014,47.5923161140421,42.0528038850752,42.5611490526086
210,42.3596882256273,40.3064643996843,40.3064763615395,40.3065007296564,0,2,3,1,43.1945751736645,46.6362002761877,41.0382147686098,40.6619553366061,40.8127441519159,45.7765506453209,44.4161205782816,42.0477588333333,42.718498380785
240,42.3454490419023,40.30650282124,40.3066173557645,40.3064207541471,0,0,3,2,42.694482789096,45.1774624667453,41.2111571347602,41.9776446283792,41.3773513811059,42.2909440405395,41.1102267301998,42.062446035568,42.9449095961627
270,41.6344445553274,40.3064548700371,40.3064673585231,40.3061225595776,0,3,2,2,40.3897591241711,43.2539750290958,42.7809735256969,41.0326067663512,41.4283337772367,40.8242638074427,40.5978666680658,41.1580264653667,42.3754133398452
300,41.0367103308023,40.3058396522024,40.3064673414536,40.3067593577494,0,1,0,3,41.0642697280789,41.5480619690678,41.9035087470942,40.7319683843027,41.3781612073272,40.5595029733249,40.5474482857471,41.988966455767,42.2112981115678
330,40.9547383325836,40.3065773775183,40.3064402200731,40.3065960458746,0,1,0,3,40.8468136589788,41.3016984938731,41.3624370039582,40.6258863294892,40.9680922935702,40.5997905332994,40.6060310259105,41.519942226192,42.1165805983042
360,40.9249282111854,40.3065640898916,40.3063975985817,40.3067271512631,0,1,0,3,40.9650252998485,40.8596852035694,41.0348985828819,40.5827366046829,40.6734901464773,40.8407401269706,40.684172914355,41.0480388189991,41.8117822431416
390,40.8678895969318,40.3064448959407,40.3064407104193,40.3066600435383,0,1,0,3,40.7403302801945,40.7726703696476,40.7827054261563,40.5040266035655,40.5482344764967,40.6899252508328,40.5460051946319,40.8224039616977,41.2885174933237
420,40.7511089684091,40.3064678408186,40.3064179731316,40.3066909778913,0,1,0,3,40.6012267281483,40.6193606681876,40.6884170838556,40.5308772508535,40.5782773274594,40.5392273453214,40.3933650538071,40.711177886668,41.104585241209
450,40.6327756029529,40.3064421396182,40.3064691045082,40.3065083966351,0,2,1,3,40.5914943295725,40.5747777931466,40.5478725664608,40.3972665936472,40.4982177899152,40.4696274537746,40.3931396506498,40.587581658832,40.9735978687487
480,40.5418650793655,40.3065319288816,40.3066014641689,40.3067326804501,0,1,1,2,40.5466878654923,40.5003974529305,40.4928843326079,40.4555868594551,40.494707014603,40.5087522567011,40.4275485136869,40.5405144694068,40.7572351156122
510,40.485714454795,40.3066131386188,40.3065272847965,40.306640445629,0,1,1,2,40.4398680418077,40.469307089863,40.4731068489438,40.4434963622419,40.4640098053902,40.4156515860485,40.3674192070662,40.4586343046433,40.5648842503732
540,40.4375105283784,40.3064580436419,40.3064779238233,40.3064814127212,0,1,1,2,40.4230818494831,40.4730672168626,40.4345577852844,40.3961359883332,40.429239153075,40.3572849064132,40.3363481918074,40.3956640594366,40.4591564623908
570,40.3976139469927,40.30648399994,40.3064780853322,40.3065907216909,0,1,1,2,40.3874916710688,40.4525230420581,40.4020321181131,40.3687089994031,40.397262395103,40.3410402908445,40.3332275571538,40.382191538015,40.4266476191688
600,40.3716152286037,40.3064766004986,40.3064556300266,40.3065632515526,0,1,1,2,40.3677485775202,40.4112875239335,40.3721372406227,40.3485282901818,40.3719430932734,40.3334677290398,40.3328349067412,40.3754424106037,40.4083563264349
630,40.357308668784,40.3064473162396,40.3064439645436,40.3065135577609,0,1,1,2,40.3657530975403,40.3633629276534,40.3537521333535,40.3358238482658,40.3551662613667,40.3375426983857,40.3344071402154,40.3507490448779,40.3819953293545
