"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629989,49.9690826629986,49.9690826629984,49.9690826629982,49.9690826629964,49.9690826629962
60,49.7277061865212,40.3064525485399,40.3064389186224,40.3064407293744,0,3,3,3,40.6694911345647,40.667407670446,40.6733663673511,47.2305422500187,49.7937972479679,48.4260155120688,49.9607508280718,44.2796208160703,45.0286585231011
90,45.6106498960784,40.3063703983947,40.3065262831492,40.3064152406042,0,3,1,2,41.9806320113387,43.3986088494619,48.1369395229041,40.8817231152852,44.274450123137,45.867461574759,44.0799802825035,43.7493264487051,44.71789505709
120,43.1396847967907,40.3062296181829,40.3064228254862,40.3063293635058,0,1,3,3,41.2885298634344,44.7250687633638,43.9797186660763,40.8466426536506,42.4120132381727,43.8053163377212,41.7059456435682,41.223620441599,44.6549493851028
150,42.2177478654326,40.3064912798772,40.3065799765525,40.3068113372597,0,1,3,3,41.7217460219711,43.3544795509438,44.6891608905332,41.4279041801949,41.6708355045688,41.5140408650069,41.3384280016661,41.2862306159383,41.6506157227749
180,41.9984482131909,40.3063891249619,40.3063554078305,40.3065044610651,0,1,1,2,41.3137289626312,42.2285390496633,43.4074274094977,40.9282992999019,41.4149824993954,41.4099037018932,41.2704061355214,41.2873208257709,41.4464405783089
210,41.8448350604507,40.3064280676273,40.3064531736558,40.3065481486953,0,1,1,2,41.9229260491693,41.6971072847377,42.5817600934942,40.8681150365632,41.2313912735808,41.3806594279894,41.2620568935937,41.4937938400104,41.8988188330305
240,41.6089378017906,40.3064973944458,40.3064532666508,40.3066349475255,0,1,1,2,41.3714696307168,41.3376856847561,41.6630931649106,40.6002500510615,40.8340072651033,41.4101782338849,40.8236724546317,41.4739062453057,41.8346823481054
270,41.4611454253759,40.3064841035295,40.3064774729877,40.3065963234457,0,1,1,2,41.1855467678105,41.0949155757897,41.1415644578459,40.6715781198311,40.709735386253,40.9624251711027,40.6640439568205,41.0053427820275,41.6323882953687
300,41.3305862160421,40.306497811252,40.3064788520074,40.3065764601779,0,1,1,2,41.2575725862253,41.0568942644113,41.0066005640846,40.6680510406583,40.7029042153386,40.7675842816213,40.7041235774845,40.781051837774,41.4127918298193
330,41.2294121207529,40.3064836440732,40.3064828137726,40.3065786592346,0,1,1,2,41.1751756315217,40.9291922581844,40.9378089631816,40.6062376642527,40.7353918988189,40.782189318234,40.6073748209463,40.70377860547,41.2421968223665
360,40.991977821347,40.3064255819233,40.3064338400598,40.3066081097773,0,0,0,3,40.8687021743182,40.8171442014396,40.9289959307955,40.9071730348002,40.952293283552,40.5637449569141,40.4657477586465,40.7751223824189,41.1898009674451
390,40.8924933781213,40.3064447058413,40.3064532847826,40.3061969475243,0,1,1,0,40.7334935475399,40.7567407253913,40.893981076043,40.8491112526104,40.9187857901674,40.9618059116115,40.7952733021954,40.6379286078699,41.1270666704488
420,40.8678580883885,40.3064096866004,40.3064078746354,40.3067071049039,0,0,0,3,40.8455658297298,40.7816106168134,40.3038492487729,40.8511470695981,40.9203699631682,40.6988586657143,40.4818828312396,40.6959854243548,40.758317021969
450,40.7948952998945,40.3064661611487,40.3064622882772,40.3056816926298,0,0,0,3,40.7246593797561,40.6476383499457,40.7838406548691,40.7607436477798,40.7906949001555,40.4762604534556,40.4321422776551,40.6735261846822,40.7330185673985
480,40.7474407472731,40.3062111917303,40.306475980392,40.3057462597957,0,0,3,1,40.703084869226,40.3252522785251,40.6668876637449,40.7523749996249,40.7632988440049,40.4878292084477,40.4377302616384,40.3775373069729,40.6901098954217
510,40.7410382530231,40.3078105139198,40.3068307842073,40.3079717190894,0,0,3,1,40.7035232094767,40.5828405847817,40.569373922702,40.7485866670812,40.7405601168095,40.4446553588745,40.4219475713586,40.3590652132002,40.4467684881029
540,40.7274143578408,40.3063979405361,40.3065725925248,40.3063779226489,0,0,3,1,40.6975235319379,40.5250726857112,40.4600848146113,40.7364322849078,40.7204736462842,40.3904013797596,40.3587084452907,40.3426126614523,40.3501555561604
570,40.649026384636,40.3063598652834,40.3065870725127,40.306419365458,0,0,3,1,40.6955336366037,40.4540758479174,40.4396993596529,40.6443973667503,40.5586864721564,40.3628903590054,40.3597152011178,40.3680826250674,40.3855311456428
600,40.5545995735845,40.3065725080179,40.3065855340041,40.3065960670274,0,0,3,1,40.6525978333871,40.4708937636581,40.4645405324932,40.5380518769955,40.4673719568631,40.3843175714283,40.3819162867136,40.3754244291626,40.4307330662125
630,40.4894380082944,40.3063897293674,40.3064772649295,40.3063405392586,0,0,3,1,40.5958390701432,40.4511011928465,40.4218444843549,40.4753218280187,40.4355775098063,40.3815039713949,40.3606877993414,40.3486992945268,40.4005056420057
