"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629989,49.9690826629986,49.9690826629984,49.9690826629982,49.9690826629964,49.9690826629962
60,49.7624968042279,40.3064686870882,40.3064381072474,40.3064500779393,0,3,1,2,40.6693073477545,41.711339638154,40.8656439333149,47.3717477285723,49.8302054216485,48.8769853673936,49.968617305412,46.4734435690386,46.1681402829239
90,46.8863401416234,40.3057345682233,40.3064798204447,40.3061567735995,0,2,2,2,42.3043132516378,45.9123102448399,48.2937110951695,41.2509605005864,45.9992764079966,46.8468219332126,44.3296549540286,41.920294917142,45.0718701600288
120,43.7140799743757,40.3066296318956,40.3064585664333,40.3066111037892,0,2,2,2,41.8386729516769,45.5111358324411,46.8219120948744,40.6585657605147,41.7004584340281,43.8085927966873,42.0139928592535,41.7160291272185,45.2981843695989
150,42.6114643768753,40.3065680851957,40.3064899267338,40.3065427173357,0,2,2,2,43.3685102093343,43.5685844220871,42.6262523703124,40.8923407679323,40.9515970470321,41.663845328179,41.5446394166272,41.3624148098975,44.9627852982378
180,42.0044860722653,40.3063659474144,40.3065141030395,40.3064310343629,0,2,2,2,42.6373067413601,41.7088377773864,41.7970648562509,40.8481440617296,40.8932920768883,41.7362284706354,41.8111450089947,41.339622037861,42.4532221826085
210,41.7351694969597,40.3065882375367,40.3065278892336,40.3064087698793,0,3,2,0,41.734557413675,41.6265490271529,41.3150314704894,40.7632563422344,40.8455524680593,41.8756865958597,41.8066184525879,41.1031435669187,41.9884953515021
240,41.7107517072826,40.3066350637349,40.3064691205218,40.3064514812051,0,3,2,0,41.5749614755499,41.723887178855,41.1052244463508,40.664905485393,40.7463870108332,41.5884024405307,41.4819314882654,40.7016171635264,41.8224123095893
270,41.4347254307007,40.3066417006048,40.3064985255847,40.3064247983929,0,3,2,0,41.3522120879523,41.4838970867431,40.9729903201416,40.5629627185418,40.614622941859,41.3292106019818,41.257446797883,40.609977139824,41.2537002444978
300,40.980283793589,40.3066460523154,40.3064694359357,40.3063872537387,0,3,2,0,41.2273341224692,41.1660121101521,40.8939838674993,40.4972726513862,40.6445478528062,41.0923246255765,41.0681153825739,40.6356260296335,40.9211033179112
330,40.7953568106254,40.3066742662784,40.3064792554971,40.306390101649,0,3,2,0,41.0998472845161,41.042035797907,40.7779568471084,40.4597315739449,40.5567553766236,40.9044325743202,40.8973790685602,40.6028645577126,40.8351394154993
360,40.6599336726568,40.3066454735037,40.3064609203722,40.3063631746496,0,3,2,0,40.9484712953808,40.9428749554922,40.7239830232995,40.4348197077309,40.4893825263883,40.7697028681921,40.7554867914734,40.5450015518889,40.7287025971315
390,40.5838489765004,40.3065366888378,40.3064159217087,40.3068773069605,0,1,0,3,40.7354321826651,40.8432769121469,40.3094890660874,40.4699937345813,40.5045491241194,40.7524154616319,40.6919776734386,40.6832797432777,40.5759481216529
420,40.5314082492515,40.3065421183798,40.3064473676764,40.3053850387016,0,1,0,3,40.5934581176324,40.7164741584297,40.4688080712517,40.4639860284178,40.4943291885853,40.731405600508,40.5743090881494,40.5787332968726,40.4503347910253
450,40.4740054230309,40.3063967298803,40.3064262145157,40.306080749643,0,1,0,3,40.5339800318864,40.6186133160195,40.4880920622931,40.41572086558,40.4542572813083,40.6475893076361,40.4318306427125,40.5731582094679,40.4217110909156
480,40.4796543855899,40.30647645944,40.3064415724054,40.3066904320407,0,1,0,3,40.5260511188911,40.5609697857931,40.4514388130808,40.3542056709909,40.3942427872598,40.3946606560452,40.3445744888053,40.5412674161913,40.4361202284665
510,40.4381685109077,40.3064671673679,40.3064340044127,40.3063942069219,0,1,0,3,40.3786158435766,40.4185790565328,40.4009166202666,40.3246989721518,40.3577140248199,40.3412457546735,40.3404917358157,40.4504615377091,40.4599134315373
540,40.3789597632319,40.306388737278,40.3064754503895,40.3063675064895,0,3,3,3,40.3452283969359,40.306855155647,40.3494815676332,40.305756941855,40.3108569667443,40.3633775924889,40.3579841302448,40.3716373368908,40.4326292399343
570,40.3606669897831,40.3075609899237,40.3068406710521,40.3078568493372,0,3,3,3,40.3535681030917,40.3307334302992,40.3371974656549,40.3183149280632,40.3205890554509,40.3622552918892,40.355773242244,40.3766509541843,40.3813940257885
600,40.3414758984141,40.307035282276,40.30645918898,40.3068126035443,0,3,3,3,40.3388669913099,40.3233742063807,40.3303193046631,40.3201400433129,40.326823310389,40.3436872515053,40.3304432205852,40.3070231320076,40.3414348724106
630,40.3269552040883,40.3065884569079,40.3066752506292,40.3063580351558,0,3,3,3,40.323233130614,40.3160897311015,40.315123318938,40.3137109060168,40.3186940137371,40.3254644321566,40.3135901240155,40.3047194569314,40.3268461996519
