,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,sum,mean
power2,0.0025,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,1.3775,0.027009804
power3,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2.0025,0.039264706
dqn,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2.0025,0.039264706
our approach,0.0025,0.031666667,0.031666667,0.031666667,0.031666667,0.031666667,0.031666667,0.023333333,0.023333333,0.023333333,0.023333333,0.015,0.015,0.015,0.015,0.015,0.015,0.031666667,0.015,0.031666667,0.031666667,0.031666667,0.006666667,0.006666667,0.023333333,0.023333333,0.015,0.015,0.015,0.019166667,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.89,0.01745098
baseline,2.02E-28,5.154475553,4.597168379,4.580689162,4.366724376,4.968619414,4.278726182,3.378211209,2.626916424,2.238941035,1.48471552,1.258967661,0.946641858,0.690382808,0.593458347,0.481985179,27.23814185,7.981147785,5.641567076,2.081345324,1.511340177,0.755210178,0.596066889,0.502950386,0.417676103,0.326614541,0.227294361,0.199808802,0.190121064,0.17107296,0.153383055,0.140463141,0.128923058,0.117154929,0.105130016,0.093737093,0.08231446,0.071164874,0.06086512,0.051597938,0.043336947,0.035881307,0.021377537,0.014939268,0.012412598,0.009746012,0.007030326,0.005320241,0.004307148,0.003600314,0.003079133,90.65274512,1.777504806
baselinepoints,2.02E-28,1.660313989,5.414539318,2.101426517,0.735497941,0.475550974,0.602259273,0.625337737,0.632146949,0.484499573,0.418938704,0.442669163,0.385477012,0.293528626,0.240730567,0.234426898,20.93152935,10.62753578,8.109904541,4.871839988,2.832792137,1.731641941,1.515476072,1.316697823,1.264526217,1.185137133,1.062472927,0.875473073,0.747372249,0.662707596,0.563039998,0.46564718,0.34843931,0.264243612,0.211785533,0.181762684,0.15606218,0.123975495,0.089479077,0.065440034,0.048591591,0.03690696,0.028274968,0.021769616,0.00830297,0.006574411,0.005831494,0.005231582,0.004867756,0.004628247,0.004448914,75.12775368,1.473093209
power1,2.02E-28,1.660313989,5.414539318,2.101426517,0.735497941,0.475550974,0.602259273,0.625337737,0.632146949,0.484499573,0.418938704,0.442669163,0.385477012,0.293528626,0.240730567,0.234426898,20.93152935,10.62753578,8.109904541,4.871839988,2.832792137,1.731641941,1.515476072,1.316697823,1.264526217,1.185137133,1.062472927,0.875473073,0.747372249,0.662707596,0.563039998,0.46564718,0.34843931,0.264243612,0.211785533,0.181762684,0.15606218,0.123975495,0.089479077,0.065440034,0.048591591,0.03690696,0.028274968,0.021769616,0.017243192,0.013878184,0.011074892,0.008821666,0.007064171,0.005698413,0.00462107,75.1562699,1.473652351
power2,2.02E-28,4.080686553,3.787763539,1.24493179,0.437572784,0.427361391,0.392421949,0.451305822,0.352312305,0.301723287,0.177628369,0.092379558,0.061448657,0.045375941,0.035699368,0.027756593,21.11480091,9.558584513,4.357706301,2.74354783,2.057219158,1.018562321,0.66396036,0.486343806,0.340284642,0.225687495,0.158566865,0.115579675,0.078877012,0.048603893,0.028918013,0.016699061,0.0096137,0.00589643,0.003801601,0.002586319,0.001777911,0.001218056,0.000823762,0.000552884,0.000366858,0.000254659,0.000184204,0.000137416,0.000102682,7.70E-05,5.76E-05,4.29E-05,3.19E-05,2.37E-05,1.77E-05,54.95787705,1.077605432
power3,2.02E-28,5.154475553,3.091729662,0.947483934,0.181777017,0.273115446,0.146829249,0.144925044,0.106733513,0.069908027,0.020993962,0.013294874,0.008590165,0.006823726,0.005022562,0.002537848,19.35166304,8.635314861,3.880168712,2.055348959,1.117668643,0.53149693,0.325232064,0.191095342,0.107046115,0.061466109,0.034265505,0.01953842,0.010315709,0.005180278,0.002727194,0.001354188,0.000697257,0.000380944,0.000198047,0.000111341,6.42E-05,3.55E-05,1.98E-05,1.18E-05,7.39E-06,4.41E-06,2.48E-06,1.49E-06,9.86E-07,6.86E-07,5.16E-07,4.38E-07,4.19E-07,4.29E-07,4.66E-07,46.50566124,0.911875711
dqn,2.02E-28,5.154475553,3.091729662,0.947483934,0.181777017,0.273115446,0.146829249,0.144925044,0.106733513,0.069908027,0.020993962,0.013294874,0.008590165,0.006823726,0.005022562,0.002537848,19.35166304,8.635314861,3.880168712,2.055348959,1.117668643,0.53149693,0.325232064,0.191095342,0.107046115,0.061466109,0.034265505,0.01953842,0.010315709,0.005180278,0.002727194,0.001354188,0.000697257,0.000380944,0.000198047,0.000111341,6.42E-05,3.55E-05,1.98E-05,1.18E-05,7.39E-06,4.41E-06,2.48E-06,1.49E-06,9.86E-07,6.86E-07,5.16E-07,4.38E-07,4.19E-07,4.29E-07,4.66E-07,46.50566124,0.911875711
our approach,2.02E-28,4.397197464,3.05850227,1.306347594,0.593305383,0.490051541,0.339994193,0.129688597,0.181273667,0.255358348,0.336358759,0.341383606,0.33371489,0.337842941,0.354094157,0.34780589,17.43127143,8.747952262,3.226991508,2.439386448,1.254563438,0.40092388,0.347712473,0.363360382,0.260308398,0.211188361,0.215315913,0.241233168,0.245650683,0.207982446,0.225771809,0.228745867,0.21290456,0.19007348,0.167537886,0.152370588,0.140817875,0.128082003,0.112865231,0.096332708,0.081464066,0.068878905,0.058810847,0.044650041,0.030508653,0.024526249,0.016863346,0.014520453,0.013165184,0.012513707,0.012221713,50.43038526,0.988831084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.423386036,3.375837463,3.347351635,2.0463867,1.548586342,1.548586342,2.178612618,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8025,0.665,0.7525,1.3775,2.0025,2.0025,0.89,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.777504806,1.473093209,1.473652351,1.077605432,0.911875711,0.911875711,0.988831084,,,,,,
